project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url,tenant_name
Argyle Marsden building 300,TABS2026010323,building 300,"409 South US 377, Argyle, TX 76226",Denton,1/31/2026,8/31/2027,"$340,000",New Construction,"This project is privately funded, on private land for private use.",A new shell building for business and mercantile,"4,850 ft 2",CDI 60 Hawk LLC,"415 Hwy 377 South, #110, Argyle, Texas 76266",(817) 709-9342,Bates Martin Architects,"2220 San Jacinto Blvd., Denton, Texas 76205",(940) 565-0260,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010323,
Argyle Marsden building 200,TABS2026010321,building 200,"409 South US 377, Argyle, TX 76226",Denton,1/31/2026,8/31/2027,"$340,000",New Construction,"This project is privately funded, on private land for private use.",A new shell building for office or mercantile,"4,829 ft 2",CDI 60 Hawk LLC,"415 Hwy 377 South, #110, Argyle, Texas 76266",(817) 709-9342,Bates Martin Architects,"2220 San Jacinto Blvd., Denton, Texas 76205",(940) 565-0260,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010321,
Argyle Marsden building 100,TABS2026010319,building 100,"499 South US 377, Argyle, TX 76226",Denton,1/31/2026,7/31/2027,"$933,500",New Construction,"This project is privately funded, on private land for private use.",A new commercial strip building for office and mercantile,"13,336 ft 2",CDI 60 Hawk LLC,"415 Hwy 377 South, #110, Argyle, Texas 76266",(817) 709-9342,Bates Martin Architects,"2220 San Jacinto Blvd., Denton, Texas 76205",(940) 565-0260,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010319,
West Oak Coffee Bar,TABS2026010209,114 W Oak,"114 W Oak St, Denton, TX 76201",Denton,2/2/2026,6/26/2026,"$350,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",remodel existing second floor,"1,400 ft 2",Mockingbird Lane Properties LLC,"6364 Canyon Rd, Sanger, Texas 76266",(469) 226-3193,WILLIAM PECK  ASSOC INC,"105 W MAIN ST, LEWISVILLE, Texas 75057",(972) 221-1424,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010209,Matt Fisher
Denton Creek Blvd. Bridge and Waterlines,TABS2026010173,Denton Creek Blvd. Bridge,"Denton Creek Blvd., Flower Mound, TX 76262",Denton,10/1/2024,12/1/2025,"$10,000,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","Roadway, bridge and sidewalk","15,000 ft 2",Town of Flower Mound,"2121 Cross Timbers Road, Flower Mound, Texas 75028",(972) 874-6308,Burns & Mcdonnell,"13737 Noel Road, Dallas, Texas 75240",708-822-0313,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010173,
Feathers Smash Phase 2,TABS2026010164,Vistara Sports,"400 W Vista Ridge Mall Dr, Lewisville, TX 75067",Denton,3/1/2026,9/1/2026,"$1,000,000",New Construction,"This project is privately funded, on private land for private use.",construct 12 outdoor pickle ball courts and a 1200 sqft kiosk,"1,200 ft 2",Feathers Smash LLC,"1509 Pebble Creek Dr, Coppell, Texas 75019",(214) 929-9480,Rashmi C Inc.,"4117 Old Pleasant Ridge Road, Arlington, Texas 76016",817-891-7918,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010164,
ROMER NISD- SCREENING WALL,TABS2026010151,ROMER ELEMENTARY SCHOOL,"15201 WAGON TRAIN TRL, Haslet, TX 76052",Denton,2/16/2026,3/23/2026,"$200,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.",675'X8' HIGH SCREENING WALL FENCE ,675 ft 2,NORTHWEST INDEPENDENT SCHOOL DISTRICT,"2001 TEXAN DR., JUSTIN, Texas 76247",(214) 299-4300,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010151,
JETSET Pilates,TABS2026010108,Highlands of Flower Mound,"6101 Long Prairie Rd Suite 736, Flower Mound, TX 75028",Denton,2/9/2026,5/1/2026,"$300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","interior renovation inclusive of HVAC, electrical, moving bathroom from rear to front of space, floors, walls and millwork","1,780 ft 2","IVT HIGHLANDS AT FLOWER MOUND, LP","3025 HIGHLAND PKWY STE 350, Downers Grove, Illinois 60515",(630) 570-0737,Square One Franchise Architecture,"498 Prospect Rd, Oakland Park, Florida 33309",(561) 360-8427,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010108,Matt Johns
Westfork Crossing - Phase III,TABS2026010061,Retail Anchor and Shell Buildings,"5000 W. University Drive, Prosper, TX 75078",Denton,4/1/2026,1/1/2027,"$11,500,000",New Construction,"This project is privately funded, on private land for private use.",New commercial anchor and retail shell buildings and site work.,"153,630 ft 2",Northwest 423/380 LP & Mountainprize Inc,"7001 Preston Road, Suite 410, Dallas, Texas 75205",(214) 224-4600,Hodges Architecture,"13642 Omega, Dallas, Texas 75244",(972) 387-1000,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010061,
Walnut Street Improvements,TABS2026010050,N/A,"N Walnut Street, Roanoke, TX 76262",Denton,3/1/2025,12/31/2026,"$4,263,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Reconstructing/Improving approx. 3,100 LF of roadway along with related sidewalk, storm sewer, sanitary sewer, and domestic water","3,100 ft 2",City of Roanoke,"265 Marshall Creek, Roanoke, Texas 76262",(817) 491-6099,"TNP, Inc.","3200 S. Interstate 35E Suite 1129, Denton, Texas 76210",254-592-5987,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010050,
