project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url,tenant_name
The Marketing Group Brands,TABS2026010042,Golden Point,"3451 N I-35 Suite 111, Denton, TX 76207",Denton,1/30/2026,4/30/2026,"$400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Existing TI lease area remodel to provide MEP for new tenant provided equipment. ,"50,336 ft 2","Golden Point Industrial Investors, LLC","5728 LBJ Freeway Suite 225, Dallas, Texas 75240",(972) 654-6803,"Meinhardt & Associates, PLLC","14643 Dallas Parkway Suite 636, Dallas, Texas 75254",972-980-8980,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010042,The Marketing Group
Fossil Creek Liquor,TABS2026010017,Northwest 423/380 LP-Lot7,"4890 W University Dr, Suite 60/70, Prosper, TX 75078",Denton,2/13/2026,5/15/2026,"$110,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior Finish out of an existing vacant space in an existing Retail center,"3,195 ft 2",Northwest 423//380LP,"7001 Preston Road Suite 410, Dallas, Texas 75205",(214) 224-4600,"Dean Dekker, Architect","6722 Northport, Dallas, Texas 75230",(214) 549-4747,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026010017,Payal Brahmbhatt
Goldfish Swim School - Frisco,TABS2026009988,Goldfish Swim School,"4775 Eldorado Pkwy. #300, Frisco, TX 75033",Denton,3/2/2026,7/31/2026,"$750,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","A 7,909 SF tenant improvement. This new tenant will be an A-3 Goldfish Swim School. There will be interior demolition for the new construction. The building exterior will be existing to remain. Signage will be a deferred submittal.","7,909 ft 2",KRG FRISCO PARKWAY LLC,"30 S Meridian St Ste 1100, Indianapolis, Indiana 46204",317-577-5600,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009988,
25166 - Steel Dragon TI,TABS2026009962,Westport 24 Building,"15060 Blue Mound Rd., Fort Worth, TX 76177",Denton,2/2/2026,8/4/2026,"$26,188,000",New Construction,"This project is privately funded, on private land for private use.",New tenant build out in existing industrial building,"62,279 ft 2",Alliance Westport No. 24 Ltd.,"9800 Hillwood Parkway Suite 300, Fort Worth, Texas 76177",(817) 224-6000,RGA Architects Inc.,"301 S. Oak Street Suite 100, Roanoke, Texas 76262",(817) 430-3382,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009962,
MMG Primary Care,TABS2026009913,Trophy Club Town Center,"2204 State Highway 114, Trophy Club, TX 76262",Denton,2/2/2026,4/30/2026,"$600,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior build out of an existing shell building.,"3,000 ft 2","TC Town Center 1, LP","13101 Preston Rd. Suite #510, Dallas, Texas 75240",(214) 556-4606,Lincoln Property Company,"8140 Walnut Hill Ln. Suite #700 / Mailbox #8, Dallas, Texas 75231",214.461.2305,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009913,
T Properties,TABS2026009908,T Properties,"9074 Teasley Lane, Denton, TX 76201",Denton,1/27/2026,7/31/2027,"$1,400,000",New Construction,"This project is privately funded, on private land for private use.",A new office warehouse shell for rent,"24,000 ft 2",9078 T Properties LLC,"2700 Old Alton Road, Denton, Texas 76210",(940) 387-4326,Bates Martin Architects,"2220 San Jacinto Blvd., Denton, Texas 76205",(940) 565-0260,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009908,
"TX10975-Carrollton, TX",TABS2026009899,AutoZone,"4805 North Josey Lane, Carrollton, TX 75010",Denton,7/2/2026,12/10/2026,"$1,129,424",New Construction,"This project is privately funded, on private land for private use.","Construct from ground up a new AutoZone retail store. 6,870 SF","6,870 ft 2",SREM-JOSEY LLC,"2725 King Arthur Blvd, Lewisville, Texas 75056",(817) 296-6455,AutoZone,"123 South Front Street, Memphis, Tennessee 38103",(901) 495-7559,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009899,
Family Justice Center,TABS2026009895,Family Justice Center,"Lot 1, Block A, N Bonnie Brae St & N Lks Pk, Denton, TX 76202",Denton,3/23/2026,3/1/2028,"$10,000,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","A 3-story, trauma-informed, collaborative space where survivors of domestic violence and sexual assault can access critical services all in one place. This includes temporary housing, dining, staff services, and skill building.","30,000 ft 2",Denton County Friends of the Family,"PO BOX 640, Denton, Texas 76202",940-387-5131,BRNS Design LLC,"1301 Solana Blvd. Bldg. 5 Suite 5200, Westlake, Texas 76262",(817) 999-0062,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009895,
Bear's Contracting Group,TABS2026009880,Bear's Contracting Group,"3118 Los Colinas St, Denton, TX 76207",Denton,1/26/2026,9/21/2026,"$50,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",renovate half of existing building to be an office space,"4,841 ft 2",Bear's Contracting Group,"3118 Los Colinas St Denton, TX 76207, denton, Texas 76207",(214) 675-9175,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009880,
KOSTONE INTERIOR FINISH OUT,TABS2026009864,KOSTONE,"4240 INTERNATIONAL PKWY #STE. 100, Carrollton, TX 74507",Denton,2/15/2026,7/15/2026,"$120,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR REMODEL ,"2,000 ft 2",KOSTONE INC,"4240 INTERNATIONAL PKWY #STE. 100, CARROLLTON, Texas 75007",(501) 249-4044,AMOI GROUP,"4521 BELFORT PL, DALLAS, Texas 75205",(972) 908-9558,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009864,
"BOA TX2-411, FDIC 12610-Retail Renovation Program",TABS2026009862,Trophy Club,"353 Trophy Lake Dr., Trophy Club, TX 76262",Denton,4/17/2026,7/20/2026,"$997,018",Renovation/Alteration,"This project is privately funded, on private land for private use.","New furniture, new floors, new paint, moving ATM, and new media.","4,128 ft 2",Trophy Lake Dr. LLC,"55 Carolyn Ct., Staten Island, New York 10309",(917) 686-7544,Architectural Design Collaborative,"945 North Pennsylvania Avenue, Winter Park, Florida 32789",407-629-1188,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009862,
Crash Champions-Denton,TABS2026009860,Crash Champions,"3333 E University Drive, Denton, TX 76208",Denton,3/16/2026,9/16/2026,"$4,500,000",New Construction,"This project is privately funded, on private land for private use.","New 17,243sf construction of a motor vehicle collision repair garage and office","17,243 ft 2",Michael Nack,"601 Oakmont Lane suite 400, Westmont, Illinois 60559",(940) 783-0120,Norr,"150 W Jefferson Ave Suite 1300, Detroit, Michigan 48226",313-324-3140,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009860,
ITeach,TABS2026009784,215 West Hickory,"215 West Hickory, Denton, TX 76201",Denton,1/27/2026,8/31/2027,"$310,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",An interior finish out of an existing building,"13,037 ft 2",CDI Cedar LLC,"415 Hwy 377 South, #110, Argyle, Texas 76266",(817) 709-9342,Bates Martin Architects,"2220 San Jacinto Blvd., Denton, Texas 76205",(940) 565-0260,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009784,
TeaCupFuls Boba Tea Shop,TABS2026009774,Long Prairie Plaza,"1400 Long Prairie Road #150, Flower Mound, TX 75028",Denton,6/1/2026,6/30/2027,"$250,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior finish out for a boba tea shop.,"1,110 ft 2",Construction Engineers LLC,"608 Inglewood Drive, Flower Mound, Texas 75028",(469) 471-4782,D1 Architect & Associates Inc.,"13601 Preston Road 820W, Dallas, Texas 75240",(972) 978-5379,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009774,Nabeel Sattar
