project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url,tenant_name
Medical Office - Tennant,TABS2024024391,ARGLYE Primary Care,"8151 Thompson Rd,, Northlake, TX 76247",Denton,8/7/2024,10/30/2024,"$80,000",New Construction,"This project is privately funded, on private land for private use.",Shell Tennant space to be use as medical private practice,"1,818 ft 2","Emaden, LLC","1217 Twisting wind Dr,, Haslet, Texas 76052",(817) 706-9940,DSC Engineering,"2600 Cinnamon Cir, Ste 161, Arlington, Texas 76016",(817) 966-7388,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024391,Dr. Duran Ram Ranneru
The Standard at Old Town,TABS2024024374,Clubhouse,"701 E. Main Street, Lewisville, TX 75057",Denton,3/1/2025,5/1/2026,"$1,100,000",New Construction,"This project is privately funded, on private land for private use.","1-story detached Clubhouse for a multifamily apartments, townhomes and cottage buildings","7,756 ft 2","Ojala Partners, LP","2501 N. Harwood St. Suite 200, Dallas, Texas 75201",(817) 881-8048,HLR Architects,"6201 W. Plano Rd Suite 100, Plano, Texas 75093",(469) 317-2261,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024374,
SIDDONS-MARTIN,TABS2024024329,1506 I-35W,"1506 I-35W, Denton, TX 76207",Denton,9/18/2024,3/12/2025,"$140,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior renovation for new incoming tenant.,"12,000 ft 2",Tuffli Company,"2245 W 190th St., Torrance, California 90504",(424) 319-2910,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024329,
Highpointe Ranch: Municipal Park,TABS2024024324,Highpointe Ranch: Municipal Park,"3000 Bronco Lane, Aubrey, TX 76227",Denton,10/1/2024,1/30/2026,"$1,000,000",New Construction,"This project is privately funded, on private land for private use.","Trail Flatwork, Basketball Court, Playground","43,560 ft 2",Lennar Homes of Texas Land and Construction,"1231 Greenway Drive, Suite 800, Irving, Texas 75038",(903) 821-2188,Kimley-Horn,"6160 Warren Pkwy Suite 210, Frisco, Texas 75034",(972) 965-1665,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024324,
Cold Stone,TABS2024024309,LONG PRAIRIE PLAZA,"1450 Long Prairie Road Suite 120, Flower Mound, TX 75028",Denton,8/30/2024,12/30/2024,"$120,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Construction of first-generation ice cream store in an existing shell building.,"1,188 ft 2",CONSTRUCTION ENGINEERS LLC,"608 INGLEWOOD DR, Flower Mound, Texas 75028",(469) 471-4782,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024309,Bhasker Masna
Krum ISD CTE Facility,TABS2024024306,Krum ISD CTE Facility,"700 Bobcat Blvd, Krum, TX 75080",Denton,9/30/2024,9/30/2025,"$8,000,000",Additions to Existing Building,"This project involves public funds, public land, or is a Federally funded roadway project.",Renovation of existing Ag Shop and addition of CTE Classrooms,"15,550 ft 2",Krum Independent School district,"1200 Bobcat Blvd, Krum, Texas 76249",(214) 766-1356,Alliance Architects,"1600 N Collins Blvd, Suite 1000, Richardson, Texas 75080",(972) 233-0400,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024306,Krum Independent School District
Yellow Door Sanger`,TABS2024024272,Yellow Door Storage Sanger,"NWC Interstate Highway 35 & Chapman Road, Sanger, TX 75078",Denton,10/1/2024,9/30/2025,"$4,500,000",New Construction,"This project is privately funded, on private land for private use.","New self-storage facility comprised of five (5) single-story buildings totaling approximately 63,247 square feet.","63,247 ft 2","YDS Sanger, LLC","212 South Elm Street, Denton, Texas 76201",(940) 220-7599,"David Baca Studio, LLC  dba  BACA","100 N Travis Street, No. 500, Sherman, Texas 75090",(903) 893-5800,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024272,
South Teel Parkway - Plaza 1 - Lot 6,TABS2024024264,Lot 6 Retail Building,"3740 W. University Drive, Prosper, TX 75078",Denton,9/2/2024,3/3/2025,"$3,564,300",New Construction,"This project is privately funded, on private land for private use.",New commercial retail shell building and site work. ,"23,760 ft 2","Teel Plaza 1, LLC","8668 John Hickman Parkway, Fris, Texas 75034",(972) 679-1918,Hodges Architecture,"13642 Omega, Dallas, Texas 75244",(972) 387-1000,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024264,
Chick-fil-A #3752 Champions Center,TABS2024024252,"Chick-fil-A, Inc.","3588 Highway 114, Fort Worth, TX 76177",Denton,2/17/2025,4/17/2025,"$1,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Drive-thru modification with canopies. Existing single lane order meal delivery (OMD) canopy to be removed and replaced with a dual-lane OMD canopy. Existing face to face (F2F) canopy to be removed, relocated and replaced as a dual lane Face to Face ","5,010 ft 2","Chick-fil-A, Inc.","5200 Buffington Road, Atlanta, Georgia 30349",(407) 645-5008,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024252,
Cosmetology Learning Center,TABS2024024247,Highlands at Coppell,"456 W State Hwy 151 100, Coppell, TX 75019",Denton,9/2/2024,1/24/2025,"$300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",interior finish-out of existing retail building,"2,567 ft 2","RS DENTON TAP INVESTMENTS, LLC","1170 CORPORATE DR W Ste 204, Arlington, Texas 76006",(210) 787-0089,WILLIAM PECK  ASSOC INC,"105 W MAIN ST, LEWISVILLE, Texas 75057",(972) 221-1424,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024247,
Earl's,TABS2024024245,Earls,"427 Hwy 377, Argyle, TX 76266",Denton,8/26/2024,11/22/2024,"$110,000",Additions to Existing Building,"This project is privately funded, on private land for private use.",Adding restroom to building and remodeling kitchen,306 ft 2,ERI-Argyle-II LP,"427 HWY 377, Argyle, Texas 76926",(940) 300-3003,WILLIAM PECK  ASSOC INC,"105 W MAIN ST, LEWISVILLE, Texas 75057",(972) 221-1424,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024245,
"Walmart #3286-253 Hickory Creek/Denton, TX",TABS2024024240,Walmart #3286,"1035 Hickory Creek Blvd, Hickory Creek, TX 75065",Denton,5/4/2025,8/21/2025,"$1,300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Remodel - 16,812sf","16,812 ft 2",Walmart Real Estate Business Trust,"2608 SE J Street, Bentonville, Arkansas 72716",(800) 876-5309,Cyntergy,"810 S Cincinnati Ave., Ste. 200, Tulsa, Oklahoma 74119",(918) 877-6000,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024240,
Discount Tire#SAP 1290 TXD 31,TABS2024024197,Discount Tire,"2385 S Stemmons Fwy, Lewisville, TX 75067",Denton,12/16/2024,3/24/2025,"$497,500",Renovation/Alteration,"This project is privately funded, on private land for private use.","Renovation of an existing Discount Tire location  -  Sq Ft 1,402","1,402 ft 2",HALLE PROPERTIES LLC,"14631 N SCOTTSDALE RD, SCOTTSDALE, Arizona 85254",480-909-6811,Interbrand Design Forum,"2056 Byer Road, Miamisburg, Ohio 45342",937-853-8247,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024197,
Oak Street Cottage,TABS2024024172,Oak Street Cottage,"301 N Oak Street, Roanoke, TX 76262",Denton,8/1/2024,7/31/2025,"$1,883,075",New Construction,"This project is privately funded, on private land for private use.",New 2 story bed & breakfast,"4,834 ft 2",Frances Allen,"301 N Oak Street, Roanoke, Texas Roanoke",(817) 965-0220,Shane Harris,"301 S. Oak Street Ste 100, Roanoke, Texas 76262",(817) 692-5800,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024172,
LAKE DALLAS TINY HOME VILLAGE COMMUNITY CENTER ADDITION,TABS2024024124,LAKE DALLAS TINY HOME VILLAGE,"206 GOTCHER AVENUE, Lake Dallas, TX 75065",Denton,8/1/2024,4/30/2025,"$200,000",Additions to Existing Building,"This project is privately funded, on private land for private use.",COMMUNITY ROOM ADDITION TO EXISTING HISTORIC HOME ,640 ft 2,URBAN-RETRO,"PO BOX 751, LAKE DALLAS, Texas 75065",(972) 593-9940,"Thrasher Works, LLC","531 W Jefferson Blvd Suite 601; Mailbox #109, Dallas, Texas 75208",(214) 293-3498,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024124,
Jake's Place Park Pickle Ball Courts,TABS2024024097,City of Oak Point Jake's Place Park,"100 Naylor Road, Oak Point, TX 76068",Denton,9/1/2024,12/1/2024,"$475,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","3 Pickle Ball courts on post-tensioned slab, basketball court clear zone addition, access walk, re-grading and repair of turf areas. Add Alt.- additional sidewalk access.","5,000 ft 2",City of Oak Point,"100 Naylor Road, Oak Point, Texas 76068",972-294-2312,"CCA Landscape Architects, Inc.","3821 Whitehall Drive, Dallas, Texas 75229",214-351-0000,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024097,
