project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url,tenant_name
Greenway Trails,TABS2024024633,Greenway Trails,"1250 N. Corinth St, Corinth, TX 76208",Denton,9/1/2024,5/1/2025,"$33,000,000",New Construction,"This project is privately funded, on private land for private use.","121 Townhomes, Cabana, pool and surface parking","183,947 ft 2","RW/UD Greenway Owner, LLC","8235 Douglas Ave. Suite 1320, Dallas, Texas 75225",(972) 619-9304,Architecture Demarest,"2320 VALDINA STREET, STUDIO B, DALLAS, Texas 75207",(214) 748-6655,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024633,
Ivybrook Academy,TABS2024024616,Ivybrook Academy,"9810 North Central Expressway Suite A005, Dallas, TX 75231",Denton,9/2/2024,12/2/2024,"$881,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Tenant improvement build out of an existing 6,987 SF space for an institute daycare facility.  ","6,987 ft 2",Asana Partners,"1616 Camden Road Suite 210, Charlote, North Carolina 28203",(386) 697-4141,"AW Architects, Inc","7700 Congress Ave, Suite 1114, Boca Raton, Florida 33487",(561) 997-1244,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024616,PCE Group Inc - Will Flora
Hana Retail/Restaurant,TABS2024024605,Hana Hibachi & Sushi,"1965 University Drive, Frisco, TX 75033",Denton,9/15/2024,3/15/2025,"$980,000",New Construction,"This project is privately funded, on private land for private use.",Core & Shell architctural design,"5,849 ft 2","D Fang, LLC","15480 Calvert Drive, Frisco, Texas 75035",(972) 689-0681,"TWZ Architects, LLC","2029 Stonemont Court, Allen, Texas 75013",469-450-4163,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024605,
Aubrey ISD | Aubrey High School Indoor Practice Facility and Field House Addition and Renovation,TABS2024024538,Aubrey ISD | Aubrey High School Indoor Practice Facility and Field House Addition and Renovation,"510 Spring Hill Road, Aubrey, TX 76227",Denton,10/28/2024,10/23/2025,"$35,000,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.",Aubrey ISD | Aubrey High School Indoor Practice Facility and Field House Addition and Renovation,"125,394 ft 2",Aubrey ISD,"415 Tisdell Lane, Aubrey, Texas 76227",(940) 668-0060,Huckabee,"801 Cherry Street Ste. 500, Fort Worth, Texas 76102",(800) 687-1229,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024538,
The Renegade,TABS2024024519,Rec Leasing,"216 W Mulberry St, Denton, TX 76201",Denton,10/1/2024,4/1/2025,"$250,000",New Construction,"This project is privately funded, on private land for private use.",Rec Leasing portion of multi-family building.,"1,875 ft 2",Holt Lunsford,"5950 Berkshire Lane Suite 900, Dallas, TX, Texas 75019",(972) 265-0123,Archon Corporation,"210 N. Park Blvd Suite 100, Grapevine, Texas 76051",(214) 526-0731,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024519,
PetSmart Rayzor Ranch,TABS2024024516,Rayzor Ranch Town Center - Retail East,"2405 W. University Dr., Denton, TX 76201",Denton,9/3/2024,9/30/2025,"$1,918,734",Renovation/Alteration,"This project is privately funded, on private land for private use.",Scope of work limited solely to the interior tenant build-out of an existing interior space located within an existing shell building.,"18,494 ft 2","Rayzor Ranch Town Center Associates, LLC.","4500 Bissonnet St., Suite 200, Bellaire, Texas 77401",(713) 693-1491,Robert G. Lyons & Associates,"5100 River Road, Suite 125, Schiller Park, Illinois 60176",(847) 916-2744,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024516,PetSmart
Link - Live Oak Building E - US E Logistics TI,TABS2024024513,Live Oak Building E,"4301 Live Oak Drive, The Colony, TX 75056",Denton,8/26/2024,10/5/2025,"$650,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Minor renovations to an existing 3074 SF speculative office finish out within an existing 115,920 SF speculative tilt-wall industrial facility. ","3,074 ft 2",ICON the Colony Land Owner Pool 2 LLC,"3500 Maple Avenue, Suite 1600, Dallas, Texas 75219",(214) 550-1912,GSR Andrade Architects,"2001 North Lamar Street Suite #400, Dallas, Texas 75202",(214) 824-7040,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024513,
Titan Fence,TABS2024024503,Titan Fence,"101 S US 377, Crossroads, TX 76227",Denton,9/9/2024,5/5/2025,"$750,000",Additions to Existing Building,"This project is privately funded, on private land for private use.",Renovation of existing building with small addition,"5,978 ft 2",Jeff Sorensen,"301 S Highway 377, Crossroads, Texas 76277",(940) 365-9999,HBJ Architects,"PO Box 2686, Denton, Texas 76202",(972) 438-4380,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024503,
Behavioral Innovations- Colony Plaza,TABS2024024462,Colony Plaza,"5101 Main St. Building D #100, The Colony, TX 75056",Denton,9/1/2024,2/1/2025,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","The scope of this project is a non-structural first generation interior finish-out in an existing single floor suite for the above named tenant. Scope includes HVAC, electrical, and plumbing. The estimated square footage is 5,489 SF.","5,489 ft 2","Colony 72, LLC","7116 Valjean Ave., Van Nuys, California 91406",818-518-6582,idGROUP,"2641 Irving Blvd, Dallas, Texas 75207",214-638-6800,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024462,Laura Furr
Denton County MHMR Center Renovation,TABS2024024417,Denton County MHMR Center,"2519 Scripture Street, Denton, TX 76201",Denton,8/12/2024,8/30/2025,"$900,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Renovation of approx. 5,205 sf on first floor to provide psychiatric triage, sud area, medical records, consumer benefits & intake/office space.  Approximately 2,091 sf renovated on 2nd floor to provide offices, cubicles, break room and staff lounge.","7,296 ft 2",Denton County MHMR Center,"2519 Scripture Street, Denton, Texas 76201",(940) 435-5339,"SBL Architecture, Inc.","1000 Ballpark Way, Suite 200, Arlington, Texas 76011",(817) 792-2100,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024417,
