project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,design_name,design_address,design_phone,tenant_name
Ribbonwood Amenity Center,TABS2026015570,Ribbonwood Amenity Center,"5330 Legends Way 1500 Boyd Street, Aubrey, TX 76227",Denton,9/1/2025,9/1/2026,"$2,500,000",New Construction,"This project is privately funded, on private land for private use.","Pool Restroom, Pool Deck, Sidewalk Connections","11,565 ft 2",ARROYO CAP IV-I LLC,"18575 JAMBOREE RD STE 350, Irvine, California 92612",(469) 434-5258,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026015570,,,,
HEB Robson Ranch FSCW,TABS2026015544,HEB Robson Ranch FSCW,"7520 Robson Ranch Road, Denton, TX 76207",Denton,6/1/2026,11/5/2026,"$1,400,000",New Construction,"This project is privately funded, on private land for private use.",Fuel station kiosk with 8 fuel pumps and automatic carwash 998 sq.ft.,998 ft 2,H-E-B LP,"646 S Flores St, San Antonio, Texas 78204",210-669-8738,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026015544,Narrate,"2 W 6th St, Suite 100, Tulsa, Oklahoma 74119",(918) 587-2282,
Black Rock Coffee Bar,TABS2026015516,US380 & Main,"NEC of US 380 and Main, Providence Village, TX 76227",Denton,6/19/2026,9/19/2026,"$475,000",New Construction,"This project is privately funded, on private land for private use.",A modular building for a restaurant with dining.,"1,400 ft 2","800 Main Street Providence Village Owner, LLC","9010 Overlook Blvd, Brentwood, Tennessee 37027",(480) 747-5666,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026015516,Russo Modular,"3836 W. Buckeye Rd., Phoenix, Arizona 85009",(623) 328-5196,
Peak Physical Therapy - Sanger,TABS2026015503,Sanger Crossing Shopping Center,"1409 W Chapman Dr Ste 400, Sanger, TX 76266",Denton,4/13/2026,6/1/2026,"$193,829",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant buildout of a 1624 SF ground level suite in an existing tenant building. Intended use is for outpatient physical therapy,"1,624 ft 2",Sanger Retail LTD,"4020 Maple Ave Ste 475, Dallas, Texas 75219",(214) 532-1976,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026015503,H2A Architecture & Design,"2475 Northwinds Parkway Ste 200, Alpharetta, Georgia 30009",(404) 683-1156,Peak Physical Therapy
Aune Ranch,TABS2026015481,"Aune Ranch 2025, LLC","1265 Copper Canyon Rd., Copper Canyon, TX 76226",Denton,9/1/2025,9/1/2026,"$2,400,000",New Construction,"This project is privately funded, on private land for private use.",22-lot single-family residential subdivision development,"24,269,454 ft 2",Dan Siciliano,"17943 Windflower Way Ste 100, Dallas, Texas 75252",(469) 594-7740,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026015481,McAdams,"4400 State Hwy 121 Suite 800, Lewisville, Texas 75056",(972) 436-9712,
Williams Ranch,TABS2026015450,Williams Ranch,"1017 Williams Ln., Copper Canyon, TX 75076",Denton,3/9/2023,5/19/2025,"$3,200,000",New Construction,"This project is privately funded, on private land for private use.",New Residential Construction,"871,200 ft 2",Williams Ranch Residential Community INC,"17943 Windflower Way, Dallas, Texas 75252",(469) 594-7740,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026015450,McAdams,"4400 State Highway 121 Ste 800, Lewisville, Texas 75057",(972) 436-9712,
EquipmentShare,TABS2026015437,EquipmentShare,"7240 Jackson Road, Krum, TX 76249",Denton,4/1/2026,5/15/2026,"$200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Renovations to existing building(s) and site. 6,728 sf","6,728 ft 2","Premiere Real Estate Holdings III, LLC","1431 Cinnamon Hill Ln. Suite 104, Columbia, Missouri 65201",573-226-4762,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026015437,EquipmentShare.com Inc,"168 Green Egret Way, Leander, Texas 78641",512-827-7727,Brian Morton
J.Crew Factory 4193 Storage,TABS2026015429,The Shops at Highland Village,"1100 Cottonwood Creek, Suite R165, Highland Village, TX 75077",Denton,6/1/2026,8/5/2026,"$75,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","The scope of work consists of new tenant fit-out of an existing tenant space. new work includes interior non-load bearing partitions, finishes, millwork, lighting, electrical & mechanical scope.  +/- 4, 027 SF","4,027 ft 2","MP Shops at Highland Village, LLC","2 Seaport Lane, Boston, Massachusetts 02201",617-261-9308,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026015429,"Kevin C. Gore, AIA Architect","21 Grand Avenue, Suite 106, Palisades Park, New Jersey 07650",201-313-4860,Jugal Patel
J.Crew Factory 4193 Store,TABS2026015426,The Shops at Highland Village,"1100 Cottonwood Creek, Suite P130, Highland Village, TX 75077",Denton,6/1/2026,8/5/2026,"$539,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","The scope of work consists of new tenant fit-out of an existing tenant space. new work includes interior non-load bearing partitions, finishes, millwork, lighting, electrical & mechanical scope.  +/- 4, 027 SF","4,027 ft 2","MP Shops at Highland Village, LLC","2 Seaport Lane, Boston, Massachusetts 02201",617-261-9308,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026015426,"Kevin C. Gore, AIA Architect","21 Grand Avenue, Suite 106, Palisades Park, New Jersey 07650",201-313-4860,Jugal Patel
ILC Fort Worth West Building 1 - Spec,TABS2026015398,ILC Fort Worth West Building 1 - Spec,"TBD, Justin, TX 76052",Denton,4/15/2026,7/18/2026,"$32,000,000",New Construction,"This project is privately funded, on private land for private use.",Construction of a new distribution warehouse with a small office,"1,004,000 ft 2","Alliance West, LP","512 W Hickory ST Suite 100, Denton, Texas 76201",(816) 437-5056,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026015398,studioNorth,"3315 N. Oak Trafficway, Kansas City, Missouri 64116",(816) 437-5055,
