project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url,tenant_name
Timberbrook Crossing Phase 1 Building 2,TABS2025022547,Building 2Phase 1 TImberbrook Crossing,"1110 Timberbrook Pkwy, Justin, TX 76226",Denton,8/15/2025,3/30/2026,"$975,000",New Construction,"This project is privately funded, on private land for private use.",Shell and partial finish out,"5,800 ft 2",Timberbrook Crossing LLC,"1652 FM-407 STE 100, Argyle, Texas 76226",(252) 626-5279,Moya Architecture Workshop,"1327 Dragon St, Dallas, Texas 75207",915-253-2597,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022547,
The Shops & Lofts at Falcon Ridge,TABS2025022523,The Shops & Lofts at Falcon Ridge,"312 Main Street, Lake Dallas, TX 75065",Denton,8/25/2025,9/30/2026,"$2,900,000",New Construction,"This project is privately funded, on private land for private use.",ground up construction of a mix use two story building,"10,769 ft 2","Velez LD Investments, LLC","2220 San Jacinto Blvd Suite 365, Denton, Texas 75205",(214) 384-3626,WILLIAM PECK  ASSOC INC,"105 W MAIN ST, LEWISVILLE, Texas 75057",(972) 221-1424,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022523,
Denton County Morse Street Courtroom Renovation,TABS2025022512,Denton County Morse Street Facility,"3900 Morse Street, Denton, TX 76208, Denton, TX 76208",Denton,8/1/2025,3/1/2026,"$465,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Interior renovation of approximately 5,500 SF of an existing office area for the use of county clerk teller windows, courtroom, deliberation room, private office, and open office space. ","5,500 ft 2",Denton County,"750 S. Mayhill Rd., B121, Denton, Texas 76208",(940) 349-2988,Parkhill,"3000 Internet Blvd., Ste. 550, Frisco, TX, 75034, Frisco, Texas 75034",(972) 987-1670,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022512,
"POPEYE'S HEBRON PKWY - CARROLLTON, TX",TABS2025022456,"POPEYE'S HEBRON PKWY - CARROLLTON, TX","3232 E HEBRON PKWY, Carrollton, TX 75007",Denton,10/1/2025,1/31/2026,"$750,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Existing Restaurant Conversion to Popeyes,"2,957 ft 2","IBP RETAIL NO. 8, LP","1722 ROUTH ST STE 770, DALLAS, Texas 75201",(972) 820-2236,"JAW ARCHITECTS, INC.","6115 CAMP BOWIE BLVD STE 200, FORT WORTH, Texas 76116",(817) 705-3387,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022456,
Market Place Highland Phase-2,TABS2025022428,Market Place,"2150 Village Parkway, Highland Village, TX 75077",Denton,8/15/2025,7/1/2026,"$400,000",New Construction,"This project is privately funded, on private land for private use.",Construction of 12203 SF Retail Center,"12,203 ft 2",Village Partners Group LLC,"9725 Zembriski Drive, Plano, Texas 75025",(214) 507-2222,"Royal Bengal Construction, Inc","7610 N Stemmons Fwy, #410, DALLAS, Texas 75247",(214) 476-4981,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022428,
717 E Liberty,TABS2025022425,717 E Liberty,"717 E Liberty Street, Pilot Point, TX 76258",Denton,7/10/2025,9/30/2025,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Converting existing commercial building into three leasable suites. ,"2,500 ft 2",Talley and Company LTD,"8914 Hames Road, Pilot Point, Texas 76258",(254) 718-6791,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022425,
Chuy's,TABS2025022391,Chuy's,"NWC I-35 & FM 407, Argyle, TX 76226",Denton,9/1/2025,7/1/2026,"$1,750,000",New Construction,"This project is privately funded, on private land for private use.","New building construction including site improvements for a Chuy's Tex Mex located in Argyle, TX.","5,426 ft 2",Chuy's OPCO,"1623 Toomey Road, Austin, Texas 78704",515050494,The Dimension Group,"10755 Sandhill Road, Dallas, Texas 75238",(214) 343-9400,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022391,
Marcos Pizza,TABS2025022322,The Ridge West - Bldg. 4,"6000 Cleveland Gibbs Rd. Suite 200, Northlake, TX 76226",Denton,7/28/2025,10/31/2025,"$250,000",New Construction,"This project is privately funded, on private land for private use.",Tenant finish out of existing shell building.,"1,284 ft 2","CHL Investments I LTD, c/o Hahei Management Corp/dba Office Equity Solutions","365 Miron Dr. Suite A, Southlake, Texas 76092",(626) 422-9892,S-Cubed Architects,"124 Donald Dr., Hurst, Texas 76053",(817) 431-0741,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022322,
Pigtails & Crewcuts,TABS2025022303,Northlake Commons,"1234 FM 407 #300, Northlake, TX 76226",Denton,7/14/2025,10/29/2025,"$150,000",New Construction,"This project is privately funded, on private land for private use.",Interior Finish-out,"1,560 ft 2","VAST RI, LLC","365 Miron Drive Suite A, Southlake, Texas 76092",(817) 416-3981,Richmond Group,"625 Dallas Drive #200, Denton, Texas 76205",(214) 244-8555,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022303,Marquita Hammond
HTPN - PGA Cardio,TABS2025022296,BSW Medical Center,"16050 Everwell Lane Suite 600, Frisco, TX 75033",Denton,7/15/2025,11/15/2025,"$1,335,888",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement / Medical Office space,"9,591 ft 2",Well Tower,"8115 Preston Road Suite 400, Dallas, Texas 75225",(469) 460-4055,Schwabauer Design,"1600 North Collins Blvd Suite 1900, Richardson, Texas 75080",(469) 804-2400,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022296,
