project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url,tenant_name
Star Trail Neighborhood Park #3,TABS2025022731,Star Trail Phase Ten Blk AA Lot 1 (Park),"SAVANNAH RDG, Prosper, TX 75078",Denton,5/1/2025,12/1/2025,"$1,250,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","8.14 acre park with open grass fields, playground, shade pavilion, sidewalks, and seating","354,579 ft 2",Blue Star Allen Land LP,"1 Cowboys Way, Frisco, Texas 75034",972-543-2412,"LJA Engineering, Inc.","2150 S Central Expressway, Suite 300, McKinney, Texas 75070",214-620-2800,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022731,
Tradition 9a,TABS2025022729,Tradition 9a - BFR and Developer Sidewalk,"Winding Meadows Drive and Sam Reynolds Road, Fort Worth, TX 76247",Denton,6/17/2025,7/4/2025,"$76,373",New Construction,"This project is privately funded, on private land for private use.",sidewalk plus BFR. 8315 sf.,"8,315 ft 2","Ashton Dallas Residential, LLC","1800 Valley View Lane, Suite 100, Farmers Branch, Texas 75234",(817) 822-1132,GM Civil Engineering and Surveying,"2559 SW Grapevine Pkwy, Grapevine, Texas 76051",(817) 329-4373,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022729,
Gideon Math and Reading,TABS2025022713,Azure Plaza,"26565 E. University Drive Suite 100, Aubrey, TX 76227",Denton,7/14/2025,8/29/2025,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior Buildout,"1,500 ft 2",Little Elm 380 Plaza LLC,"312 Fisk Lane, McKinney, Texas 75072",(609) 401-9382,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022713,Kirubadevi Deivasigamani
"Lowe's of Cross Roads, TX",TABS2025022700,Lowe's Home Improvement,"11300 US Highway 380, Cross Roads, TX 76227",Denton,10/1/2025,10/1/2026,"$11,975,000",New Construction,"This project is privately funded, on private land for private use.",New construction of Lowe's Home Improvement Store,"107,136 ft 2",Lowe's Home Center's,"1000 Lowe's Boulevard, Mooresville, North Carolina 28117",(704) 758-1000,Blue Ridge Architecture,"1313 Kalmia Road, Knoxville, Tennessee 37909",865-603-0007,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022700,
Crossroads - Retail 10 and 11,TABS2025022697,Shell Buildings 10 and 11,"FM 720 West at Highway 380, Cross Roads, TX 76227",Denton,8/15/2025,5/15/2026,"$1,900,000",New Construction,"This project is privately funded, on private land for private use.","Two multi-tenant buildings of approximately 15, 292 sq. ft. and associated site work. ","15,292 ft 2",720 and 380 Ltd.,"2808 Fairmont Street, Suite 100, Dallas, Texas 75201",(214) 502-2004,Hodges Architecture,"13642 Omega, Dallas, Texas 75244",(972) 387-1000,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022697,
Swinerton - 5912 Stone Creek,TABS2025022678,C&B Wholesale,"5912 Stone Creek, suite 100, The Colony, TX 75056",Denton,7/14/2025,10/10/2025,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Renovation of an existing suite including the addition of a conference room, finish upgrades and expansion of the IDF closet.","1,800 ft 2",GID Industrial,"14241 Dallas parkway Suite 1050, Dallas, Texas 75254",833-259-7511,Interior Architects,"2200 Main St. Suite 100, Dallas, Texas 75201",737.218.5228,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022678,Tyler Whittaker
Zio Als Pizza,TABS2025022667,-,"1611 EAGLE DR #STE. 109, Denton, TX 76201",Denton,7/15/2025,9/15/2025,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",REMODEL ,"1,192 ft 2",EPOCH ON EAGLE,"903 AVENUE C, DENTON, Texas 76201",(469) 203-0218,DESIGN ASSOCIATES & CONSULTANTS,"2500 COOLWATER DR, PLANO, Texas 75025",(214) 714-5666,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022667,
Metroplex Concrete,TABS2025022643,Lakeside Office Center II,"2900 Lake Vista Dr. Suite 185, Lewisville, TX 75067",Denton,7/15/2025,10/31/2025,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior Tenant Finish Out,"3,542 ft 2",Capital Commercial Investments,"500 N. Capital of Texas Hwy. Building 1, Suite 200, Austin, Texas 78746",(940) 282-8927,DRAWbridge,"2650 FM 407E Suite 145, #149, Bartonville, Texas 76226",(214) 395-2375,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022643,
Watermere Flower Mound Phase ll,TABS2025022600,Watermere Flower Mound Phase ll,"Northwest Corner of Dixon Lane & Whyburn, Flower Mound, TX 75028",Denton,9/1/2025,9/1/2026,"$7,608,607",New Construction,"This project is privately funded, on private land for private use.",New construction of on-story villas,"59,201 ft 2","Flower Mound IL Group, LP","3110 W. Southlake Blvd., Southlake, Texas 76092",(817) 742-1851,ARRIVE Architecture Group,"2344 Highway 121 Suite 100, BEDFORD, Texas 76021",(817) 514-0584,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022600,
Watermere on Oak,TABS2025022599,Watermere on Oak,"N. Oak St. & Dorman Rd., Roanoke, TX 76262",Denton,11/1/2025,5/31/2028,"$80,911,959",New Construction,"This project is privately funded, on private land for private use.","New construction of an IL, Active Adult and 4 Villa buildings. ","489,518 ft 2","Oak Street IL Group, LP","3110 W. Southlake Blvd. Suite 120, Southlake, Texas 76092",(817) 742-1851,ARRIVE Architecture Group,"2344 Highway 121 Suite 100, BEDFORD, Texas 76021",(817) 514-0584,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022599,
