project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,design_name,design_address,design_phone,tenant_name
Prayer and Pilates TI,TABS2024024055,Roanoke Gateway Building 2,"856 E Hwy 114, Suite 200, Roanoke, TX 76262",Denton,8/10/2024,10/31/2024,"$84,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Lighting interior TI renovation consisting of minimal new partitions, mechanical ducting, and electrical improvements. Renovation largely consists of new finishes.","1,293 ft 2",STR Roanoke LLC,"856 E State Hwy 114, Roanoke, Texas 76262",(817) 658-5914,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024055,,,,
The Reserve at Marty B's,TABS2024024026,The Reserve at Marty B's,"1001 I T Neely Dr, Bartonville, TX 76226",Denton,8/19/2024,12/19/2025,"$9,900,000",New Construction,"This project is privately funded, on private land for private use.",Event rental facility,"285,975 ft 2","BRYFAM PROPERTIES, LLC","913 Hat Creek Court, Bartonville, Texas 76226",(972) 819-5177,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024024026,McAdams Co,"4400 Hwy 121 Suite 800, Lewisville, Texas 75056",(936) 668-2230,
Barrel House Restaurant Tenant,TABS2024023967,Barrel House Restaurant Tenant,"4453 MAIN ST, STE 330 BLDG C, STE 330, Frisco, TX 75033",Denton,9/1/2024,3/1/2025,"$700,000",New Construction,"This project is privately funded, on private land for private use.","New restaurant tenant improvement. Existing building shell has no previous tenant in this space. Two new patio spaces are excluded from 3,850 square feet.  - 450 square feet at new East Patio  - 1680 square feet at new West Patio","3,850 ft 2",Pratap Mandapati,"3013 APPALACHIAN LN., Frisco, Texas 75033",(972) 363-4849,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023967,Streamline Architects LLC,"575 12th Avenue, East Moline, Illinois 61244",(563) 345-2724,
KING NOODLE - DENTON,TABS2024023891,KING NOODLE,"2440 SOUTH I-35, Denton, TX 76205",Denton,8/15/2024,2/15/2025,"$250,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",REMODEL ,"2,598 ft 2",2440 I35 REALTY LLC,"538 HAGGARD ST #STE. 412, PLANO, Texas 75074",(972) 999-6455,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023891,,,,RUIWEN LIN
North Shore Communities,TABS2024023848,HUQ UP,"27052 E. University Drive, Building-1 , Suite-100,, Aubrey, TX 76227",Denton,3/2/2025,6/12/2025,"$195,000",New Construction,"This project is privately funded, on private land for private use.","Hookah Lounge with flooring, Wall treatments, and ceiling Finishes, Furnishing. Lighting and decor. ","1,000 ft 2","Northshore Communities, LLC","6600 Paige Road, Suite 224, The Colony, Texas 75056",(937) 708-9589,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023848,"Corinthian Design Associates, LLC","10420 Ambergate Lane,, Frisco, Texas 75035",(214) 223-4501,Krishna Katepalli
Exceed Performance Training and Rehab,TABS2024023835,Prairie Commons,"3370 Long Prairie Road Suite 625, Flower Mound, TX, Flower Mound, TX 75022",Denton,8/6/2024,10/31/2024,"$96,000",New Construction,"This project is privately funded, on private land for private use.","Finish out of new 3,215 s.f. rehab training facility in existing shell building","3,215 ft 2","Prairie Common Holdings, LLC","4111 N. US Hwy 377, Junction, Texas 76849",(210) 414-1718,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023835,Staci Renfro,"577 Lake Forest Drive, Coppell, Texas 75019",(214) 995-3212,Cho Dominic
Walmart 5247 ESS,TABS2024023729,Walmart Store 5247,"1228 N US 377, Roanoke, TX 76262",Denton,2/1/2025,2/22/2025,"$115,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",adding new emergency services security doors,80 ft 2,Walmart Real Estate Business Trust,"PO Box 8050 MS 0555, Bentonville, Arkansas 72712",(479) 273-4000,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023729,,,,
Denton County Courtroom Infill,TABS2024023699,Denton County Administrative Courthouse,"1 Courthouse Dr, Denton, TX 76208",Denton,9/12/2024,4/8/2025,"$2,504,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Demolition of the first floor administration area to convert it into a courtroom, jury deliberation room and judge chambers.     ","6,190 ft 2",Denton County,"869 S. Woodrow Ln., Denton, Texas 75206",(940) 349-3255,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023699,,,,
Heights at Hollyhock,TABS2024023665,Building 1,"Urban heights way, Lot 8, Frisco, TX 75033",Denton,8/10/2024,8/12/2025,"$1,800,000",New Construction,"This project is privately funded, on private land for private use.",Two Story Shell building with toral gross area approcimately - 38000 Sqft. Metal building with Sheathing and Masonry ,"38,000 ft 2",UV 380 Hollyhock LLC,"2938 W. Royal Lane, Irving, Texas 75063",(214) 335-3268,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023665,"Patrick Ahearne, Architect","814 Wind Elm Drive, Allen, Texas 75002",(214) 673-0054,
Brookside South Park,TABS2024023651,N/A,"Panther Creek Pkwy and Bohannon Dr, Frisco, TX 75033",Denton,10/1/2024,10/1/2025,"$2,730,120",New Construction,"This project is privately funded, on private land for private use.","13.654 Ac. City Park in a new housing development.  Includes playground, walking trails, picnic pavilion, benches, storm water BMP Ponds, and park signage.","594,770 ft 2","Fields Development Partners, LP","1900 North Akard Street, Dallas, Texas 75201",214-978-8761,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023651,Kimley-Horn,"2500 Pacific Ave., Suite 1100, Dallas, Texas 75226",972-770-1371,
Brookside North Park,TABS2024023645,N/A,"Wentwood Dr. and Dumfries Rd./Stovall Ln., Frisco, TX 75033",Denton,10/1/2024,10/1/2025,"$3,955,200",New Construction,"This project is privately funded, on private land for private use.","20.652 Ac. Neighborhood Park in a new housing development.  Includes playground, walking trails, picnic pavilion, benches, pollinator garden, public art, storm water BMP Ponds, pedestrian bridge, overlooks, and park signage.","900,000 ft 2","Fields Development Partners, LP","1900 North Akard Street, Dallas, Texas 75201",214-978-8761,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023645,Kimley-Horn,"2500 Pacific Ave., Suite 1100, Dallas, Texas 75226",972-770-1371,
MHC Denton,TABS2024023642,MHC Kenworth,"Cowling Rd., Sanger, TX 76266",Denton,3/1/2024,11/1/2025,"$12,000,000",New Construction,"This project is privately funded, on private land for private use.",New truck sales and service facility,"63,216 ft 2","M-H 5, LLC","11120 Tomahawk Creek Pkwy, Leawood, Kansas 66211",(816) 483-6444,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023642,Finkle Williams,"8787 Renner Blvd. Suite 100, Lenexa, Kansas 66219",(913) 498-1550,
Available Lease Space Suite 800,TABS2024023634,Available Lease Space Suite 800,"3411 Cross Timbers Road Suite 800, Flower Mound, TX 75028",Denton,8/1/2024,12/31/2024,"$66,304",New Construction,"This project is privately funded, on private land for private use.","New construction to include offices, breakroom and restroom","1,792 ft 2",Flower Mound Office Ventures LTD,"PO Box 271073, Flower Mound, Texas 75027",(972) 539-0459,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023634,Staci Renfro,"577 Lake Forest Drive, Coppell, Texas 75019",214-995-3212,
