ProjectId,ProjectNumber,DataVersionId,ProjectName,ProjectStatus,ProjectCreatedOn,FacilityName,City,County,TypeOfWork,EstimatedCost,EstimatedStartDate,EstimatedEndDate,URL
c6d5e5aa-c8c7-46e8-b05f-3264433691ab,TABS2026014825,900001,"Mavis Tire & Brakes, Sherman Tx",3008,2026-03-12T11:54:03.273,Mavis Tire & Brakes,1607,2091,9002,200000.0,2026-06-01T00:00:00,2026-08-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026014825
32060bd1-bf5a-489b-9f38-37e97f6bddda,TABS2026014706,900001,Gunter ISD - District Improvements,3008,2026-03-11T10:28:36.173,Gunter ISD - District Improvements,709,2091,9002,2000000.0,2026-03-30T00:00:00,2026-12-31T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026014706
50d3601c-c586-401c-b3e6-c6855a53f708,TABS2026014593,900001,The Preserve,3008,2026-03-10T11:50:57.263,The Preserve,709,2091,9001,15000000.0,2025-09-15T00:00:00,2026-03-15T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026014593
