project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url
Lamberth Rd Drainage Improvements- Phase 2,TABS2025024903,Lamberth Rd,"Cornerstone Dr to US 75, Sherman, TX 75092",Grayson,10/1/2025,10/1/2026,"$1,700,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.",Road and Bridge Construction,"2,600 ft 2",City Of Sherman,"317 S. Travis St, Sherman, Texas 75090",(903) 892-7014,Halff,"1201 N. Bowser Rd, Richardson, Texas 75081",214-217-6512,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025024903
McDonald's Whitesboro (42-2337),TABS2025024897,McDonald's Restaurant,"871 Highway 377 N., Whitesboro, TX 76273",Grayson,11/3/2025,4/3/2026,"$750,000",New Construction,"This project is privately funded, on private land for private use.",New McDonald's restaurant with new Dual lane Drive-thru layout located behind the restaurant and new Site Work as part of the Scope of Work.,"4,146 ft 2",McDonald's USA,"110 N. Carpenter St., Chicago, Illinois 60607",(214) 789-2646,Castles Design Group,"3801 Kirby Drive, Suite #600, Houston, Texas 77098",(713) 664-7974,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025024897
"Sherwin 721161 Sherman, TX",TABS2025024787,Sherman Commons,"4015 S HWY 75, Sherman, TX 75090",Grayson,10/2/2025,12/31/2025,"$450,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","DEMOLISH INTERIOR NON-LOAD BEARING WALLS, REMOVE EXISTING FINISHES, CONSTRUCT NEW INTERIOR  NON-LOADBEARING WALLS, NEW OFFICE (ACCESSORY), NEW EMPLOYEE WORK SPACE, NEW RESTROOM","4,659 ft 2",Sherman Commons Kobalt TRC LLC,"8411 Preston Rd, ste 740, Dallas, Texas 75225",214-441-7474,"Brian L Crawford, NCARB","2100 Lakeside Blvd, Ste 500, Richardson, Texas 75082",(469) 616-9881,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025024787
