ProjectId,ProjectNumber,ProjectName,ProjectCreatedOn,ProjectStatus,FacilityName,City,County,TypeOfWork,EstimatedCost,DataVersionId,EstimatedStartDate,EstimatedEndDate,URL
3001e1b2-a388-44fa-88c7-57d69d1adb99,TABS2025026437,"Casey's General Store Sherman, TX #4495",2025-08-21T15:11:18.657,3008,Casey's General Store,1607,2091,9002,367000.0,900001,2024-09-15T00:00:00,2025-11-20T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025026437
065bc3f8-17d3-4ae5-85a1-92e2ab219e91,TABS2025026421,"Tesla - Sherman, TX",2025-08-21T14:26:32.32,3008,Tesla,1607,2091,9003,190000.0,900001,2025-09-11T00:00:00,2026-10-15T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025026421
3269596c-4803-41df-8383-d355f26420d2,TABS2025026236,726 W. Lamar,2025-08-19T21:04:00.38,3008,726 W. Lamar,1607,2091,9001,175000.0,900001,2025-09-15T00:00:00,2025-12-30T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025026236
468c503b-9d99-4692-8408-40d34027266a,TABS2025026063,STAR Midway LLC,2025-08-18T12:05:19.56,3008,Midway Mall,1607,2091,9002,1150000.0,900001,2025-09-02T00:00:00,2025-09-26T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025026063
