project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url,tenant_name
GH Cranes Greenfield,TABS2024016094,GH Cranes New US Manufacturing Facility,"SW corner of Apache Trail and FM 148, Terrell, TX 75160",Kaufman,4/1/2024,3/31/2025,"$16,000,000",New Construction,"This project is privately funded, on private land for private use.","New 76,000 sq. ft. industrial facility construction. The building includes the following areas: offices, warehouse, fabrication area, and shop break room.","76,000 ft 2",GH Cranes & Components USA Inc.,"14891 State Highway 205, Terrell, Texas 75160",(972) 563-8333,IDOM Inc,"1375 Peachtree St. NE, Suite 180N, Atlanta, Georgia 30309",(612) 778-0278,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024016094,
FY 24 Dallas District-wide ADA Project (CSJ: 0918-11-110),TABS2024015969,CSJ: 0918-11-110,"Various Locations, Kaufman, TX 75142",Kaufman,11/1/2024,11/1/2025,"$974,025",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.",Rehabilitation of ADA curb ramps and sidewalk. ,"81,615 ft 2",TxDOT District: Dallas,"4777 E. Highway 80, Mesquite, Texas 75150",(214) 320-6200,Kimley-Horn,"10814 Jollyville Road, Aavallon IV Suite 200, Austin, Texas 78759",(512) 418-1771,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024015969,
Bowie Street & York Street Emergency Water Repairs [CIP 252],TABS2024015861,Sidewalk & Pedestrian Facilities in Bowie Street and York Street,"Bowie Street - Lovers to Pinson; York Street, Forney, TX 75126",Kaufman,6/1/2024,6/1/2025,"$3,750,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","Installing approximately 1,400 SY new 5' wide sidewalk and curb ramps along Bowie Street and York Street where there are no sidewalks currently. ","1,400 ft 2",City of Forney,"402 N. Bois D’Arc St., Forney, Texas 75126",(972) 552-6561,"Freeman-Millican, Inc.","9330 Lyndon B. Johnson Freeway, Suite 1225, Dallas, Texas 75243",214-503-0555,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024015861,
BECN Terrell,TABS2024015750,BECN Terrell,"105 Metro Dr, Terrell, TX 75160",Kaufman,4/30/2024,6/15/2024,"$75,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior reconfiguration of offices,"5,970 ft 2",Pashko Holdings LLC,"609 S. Goliad St Ste 2020, Rockwall, Texas 75087",(972) 438-4380,HBJ Architects,"PO Box 2686, Denton, Texas 76202",(972) 438-4380,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024015750,Thomas Gentempo
Zales Terrell,TABS2024015721,Crossroads at Terrell,"514 American Way Space #D-3, Terrell, TX 75160",Kaufman,7/8/2024,9/13/2024,"$367,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","This is a renovation of a 2370 SF vacant space to become a ""Zales"" Jewelry store.  It will invclude a full interior remodel of the existing flooring, walls, ceiling, and lighting.","2,370 ft 2","TX Terrell American, LLC","201 Riverplace Suite 400, Greenville, South Carolina 29601",(864) 263-5426,Greenberg Farrow,"4695 MacArthur Court Suite 1450, Newport Beach, California 92660",(614) 205-6381,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024015721,Jodi Lindsley
