project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url,tenant_name
Carwash @ Forney,TABS2025009699,Carwash @ Forney,"FM 460 @ FM 470, Forney, TX 75126",Kaufman,3/1/2025,6/30/2026,"$1,800,000",New Construction,"This project is privately funded, on private land for private use.",Construction of a new carwash.,"8,800 ft 2",SSAA-Triangle Ventures 1 LLC,"P.O. Box 940044, Plano, Texas 75094",(972) 215-8567,"Triangle Engineering, LLC","1782 W McDermott Drive, Allen, Texas 75013",(469) 661-8566,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025009699,
Mariya's Thai Kitchen,TABS2025009602,Forney Crossings Plaza,"51 N FM 548 Suite 208, Forney, TX 75126",Kaufman,1/1/2025,3/1/2025,"$65,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovating kitchen for a thai restaurant.  Extending kitchen 10ft and remodeling the front counter.  Space is  1700 sq ft.  Only area being touched is the kitchen area and front desk area.,"1,700 ft 2",Lucky Three Forney Crossings LLC,"1776 Preston Road Suite 100, Dallas, Texas 75252",305-205-2812,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025009602,Nick Ratnaransky
Agile Cold Storage - Kaufman,TABS2025009568,Agile Cold Storage - Kaufman,"269 State Highway 34 Bypass, Kaufman, TX 75142",Kaufman,4/7/2025,12/5/2025,"$34,000,000",New Construction,"This project is privately funded, on private land for private use.","New ground up construction of a +/-120,000sf cold storage warehouse with a single story office.","122,000 ft 2",Agile Cold Storage,"300 Mansell Road Suite 200, Alpharetta, Georgia 30022",(616) 304-3979,RKB Architects,"0 Campanelli Drive, Braintree, Maine 02184",(781) 848-6600,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025009568,
