project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,design_name,design_address,design_phone,project_url
Bahama Bucks,TABS2024023490,Bahama Bucks,"1388 F.M Highway 548 Suite 100, Forney, TX 75126",Kaufman,12/1/2024,4/3/2025,"$300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior finish out and drive thru of a leased space in an existing one story building,"15,116 ft 2",Seneca Village LLC,"3330 N Galloway Ave Suite 3215, Mesquite, Texas 75150",(972) 955-3933,Kyle Bradley -Bahama Bucks Franchise Corp,"ID Studio 4, LLC","6201 Campus Circle Dr E, Irving, Texas 75063",(972) 870-1288,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023490
Village at Gateway,TABS2024023153,Lot 6 - Retail 4,"1960 North Gateway Boulevard, Forney, TX 75126",Kaufman,7/1/2025,1/1/2026,"$1,634,400",New Construction,"This project is privately funded, on private land for private use.","CONSTRUCTION OF NEW SHELL RETAIL BUILDING TOTALING APPROXIMATELY 9,084 SF. SUPPORTED BY RELATED SITE WORK, LANDSCAPING, AND AMENITIES.","9,084 ft 2",Street Level Investments,"5950 Berkshire Lane Suite 700, Dallas, Texas 75225",(214) 545-6945,,GFF,"3030 Nowitzki Way Suite 400, Dallas, Texas 75219",(214) 303-1500,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023153
Village at Gateway,TABS2024023152,Lot 6 - Retail 3,"1970 North Gateway Boulevard, Forney, TX 75126",Kaufman,7/1/2025,1/1/2026,"$1,650,600",New Construction,"This project is privately funded, on private land for private use.","CONSTRUCTION OF NEW SHELL RETAIL BUILDING TOTALING APPROXIMATELY 9,177 SF. SUPPORTED BY RELATED SITE WORK, LANDSCAPING, AND AMENITIES.","9,177 ft 2",Street Level Investments,"5950 Berkshire Lane Suite 700, Dallas, Texas 75225",(214) 545-6945,,GFF,"3030 Nowitzki Way Suite 400, Dallas, Texas 75219",(214) 303-1500,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023152
Village at Gateway,TABS2024023151,Lot 6 - Retail 1 & 2,"11610 West US Highway 80, Forney, TX 75126",Kaufman,7/1/2025,1/1/2026,"$2,789,813",New Construction,"This project is privately funded, on private land for private use.","CONSTRUCTION OF NEW SHELL RETAIL BUILDING TOTALING APPROXIMATELY 19,704 SF. SUPPORTED BY RELATED SITE WORK, LANDSCAPING, AND AMENITIES.","19,704 ft 2",Street Level Investments,"5950 Berkshire Lane Suite 700, Dallas, Texas 75225",(214) 545-6945,,GFF,"3030 Nowitzki Way Suite 400, Dallas, Texas 75219",(214) 303-1500,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023151
Village at Gateway,TABS2024023149,Lot 5 - Inline,"11610 West US Highway 80, Forney, TX 75126",Kaufman,7/1/2025,1/1/2026,"$5,043,900",New Construction,"This project is privately funded, on private land for private use.","CONSTRUCTION OF NEW SHELL RETAIL BUILDING TOTALING APPROXIMATELY 59,340 SF. SUPPORTED BY RELATED SITE WORK, LANDSCAPING, AND AMENITIES.","59,340 ft 2",Street Level Investments,"5950 Berkshire Lane Suite 700, Dallas, Texas 75225",(214) 545-6945,,GFF,"3030 Nowitzki Way Suite 400, Dallas, Texas 75219",(214) 303-1500,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023149
Walmart 5191,TABS2024023017,Walmart 5191,"802 E US Hwy 80, Forney, TX 75126",Kaufman,2/2/2025,2/28/2025,"$115,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Additional doors ,120 ft 2,Walmart Real Estate Business Trust,"PO BOX 8050 MS 0555, Bentonville, Arkansas 72712",(479) 273-4000,,pb2 architecture + engineering,"4886 west pauline whitaker parkway, Rogers, Arkansas 72758",(479) 636-3545,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024023017
