project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url
VILLAGE AT GATEWAY,TABS2025008254,ROSS TENANT FINISH OUT,"11610 WEST US HIGHWAY 80, SUITE C, Forney, TX 75126",Kaufman,7/1/2025,1/1/2026,"$1,000,000",New Construction,"This project is privately funded, on private land for private use.","CONSTRUCTION OF NEW INTERIOR TENANT FINISH OUT TOTALING APPROXIMATELY 22,000 SF.","22,000 ft 2",STREET LEVEL INVESTMENTS,"5950 BERKSHIRE LANE SUITE 700, DALLAS, Texas 75225",(214) 545-6945,GFF DESIGN,"3030 NOWITZKI WAY SUITE 400, DALLAS, Texas 75219",(214) 303-1500,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025008254
VILLAGE AT GATEWAY,TABS2025008245,BURLINGTON TENANT FINISH OUT,"11610 WEST US HIGHWAY 80, SUITE C, Forney, TX 75126",Kaufman,7/1/2025,1/1/2026,"$1,000,000",New Construction,"This project is privately funded, on private land for private use.","CONSTRUCTION OF NEW INTERIOR TENANT FINISH OUT TOTALING APPROXIMATELY 22,000 SF. ","22,000 ft 2",STREET LEVEL INVESTMENTS,"5950 BERKSHIRE LANE SUITE 700, DALLAS, Texas 75225",(214) 545-6945,GFF DESIGN,"3030 NOWITZKI WAY SUITE 400, DALLAS, Texas 75219",(214) 303-1500,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025008245
