project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url
"Multi-Tenant Shell - Forney, TX",TABS2026025426,Multi-Tenant Shell,"TBD FM 741 College & Monitor Blvd, Forney, TX 75126",Kaufman,9/1/2026,8/31/2027,"$1,500,000",New Construction,"This project is privately funded, on private land for private use.","Scope of work is for construction of a new 7,551 sq ft retail shell building.","7,551 ft 2",Bleriot Forney #1 LTD,"12160 Abrams RD, Suite 509 LB 30, Dallas, Texas 75243",972-690-4233,Franz Architects,"7608 Benbrook Parkway, Benbrook, Texas 76126",817-737-9922,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026025426
Trinity Pointe Building 6,TABS2026025134,Trinity Pointe Building 6,"I-20 & FM 2932, Mesquite, TX 75126",Kaufman,9/1/2026,9/1/2027,"$31,000,000",New Construction,"This project is privately funded, on private land for private use.","A new 541,500 SF Speculative Industrial Facility","541,500 ft 2",SRPF C/Trinity Pointe Holdings II L.P.,"2001 N. Ross Ave #400, Dallas, Texas 75201",817-713-8826,GSR Andrade Architects,"2001 North Lamar Street Suite 400, Dallas, Texas 75202",(214) 824-7040,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026025134
