project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url
Forney ISD | NOVUS Escape Room at the OC,TABS2025007036,Forney ISD | NOVUS Escape Room at the OC,"680 Innovation Blvd, Forney, TX 75126",Kaufman,1/6/2025,3/9/2025,"$900,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.",Forney ISD | NOVUS Escape Room at the OC,"3,000 ft 2",Forney ISD,"600 South Bois d'Arc Street, Forney, Texas 75126",(972) 564-4055,Huckabee,"801 Cherry Street Ste. 500, Fort Worth, Texas 76102",(800) 687-1229,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007036
Brookshire Foodstore #089,TABS2025007023,Brookshire Foodstore #089,"427 Pinson Road, Forney, TX 75126",Kaufman,3/1/2025,9/1/2025,"$2,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Minor interior remodel of Brookshire Foodstore #089,"36,266 ft 2",Brookshire Grocery Company,"430 East Front Street, Tyler, Texas 75703",(903) 508-1562,Heights Venture Architects LLP,"5741 Legacy Drive, Plano, Texas 75024",(281) 854-6136,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025007023
Shops at Crandall LLC,TABS2025006908,Shops at Crandall,"Spring Creek Boulevard and FM 741, Crandall Texas, Crandall, TX 75114",Kaufman,4/1/2025,2/2/2026,"$5,600,000",New Construction,"This project is privately funded, on private land for private use.","Two single story cold, wet, dark retail shell building","28,000 ft 2",Shops at Crandall LLC,"3773 Richmond Avenue Suite 800, Houston, Texas 77046",(713) 622-6944,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025006908
Terrell Flex Space,TABS2025006835,Terrell Flex Space,"15720 State Hwy 205, Terrell, TX 75160",Kaufman,2/1/2025,2/1/2026,"$4,224,159",New Construction,"This project is privately funded, on private land for private use.","Build commercial flex space for small business use at - 59,000 Sq Ft under roof.","59,000 ft 2","15950 State Hwy 205, LLC","15950 State Hwy 205, Terrell, Texas 75160",(214) 675-4435,"Frantom Designs, Inc","1350 E Arapaho Road Suite 114, Richardson, Texas 75081",(469) 677-1207,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025006835
