project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url
Heath Vision Source,TABS2026016939,Ridge Crossing,"4260 Ridge Rd Ste 101, Heath, TX 77220",Rockwall,6/1/2026,12/1/2026,"$120,000",New Construction,"This project is privately funded, on private land for private use.",Interior build out for an optometrist,"1,630 ft 2",Johnson Howard Reid III & Danielle Denise Trustees,"628 Shadow Wood Ln, Heath, Texas 75032",(469) 338-5333,KO Design Group LLC,"PO Box 15831, Houston, Texas 77220",(832) 482-1650,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026016939
Crosspoint Community Church,TABS2026016887,Crosspoint Community Church,"1200 E WASHINGTON ST, Rockwall, TX 75087",Rockwall,8/1/2026,8/1/2027,"$12,000,000",New Construction,"This project is privately funded, on private land for private use.","New Construction for a 35,260 SF Church.","35,260 ft 2",Crosspoint Community Church,"PO Box 1015, Rockwall, Texas 75087",(903) 456-5529,SPACE,"108 South Broadway, Edmond, Oklahoma 73034",405.310.8866,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026016887
