project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,project_url,design_name,design_address,design_phone
Royal Shave Barbershop,TABS2025020181,Royal Shave Barbershop,"1407 S Goliad St, Rockwall, TX 75087",Rockwall,6/1/2025,8/1/2025,"$60,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior remodel to convert space into a barbershop. Scope includes demo of walls/showers, new ADA restroom, office, shampoo bowls, and barber stations. Updated plumbing, electrical, paint, and finishes. Work to comply with TAS.","2,600 ft 2","Ajak Realty, LLC","1407 S Goliad St, Rockwall, Texas 75087",(214) 205-3494,Scotty Almanza,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020181,,,
"Mavis Tires and Brakes #2289 - Royse City, TX",TABS2025020167,Mavis Tires and Brakes,"360 West Interstate Highway 30, Royse City, TX 75189",Rockwall,7/14/2025,12/29/2025,"$1,350,000",New Construction,"This project is privately funded, on private land for private use.","Construction of a 6,979 SF one-story motor vehicle repair facility.","6,979 ft 2",Mavis Southeast LLC,"100 Hillside Avenue, White Plains, New York 10603",570-337-9919,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020167,"RDC-S111, Inc.","11921 Freedom Drive, Unit 1110, Reston, Virginia 20190",479-202-6137
O'Reilly Auto Parts,TABS2025020080,O'Reilly Auto PArts,"9301 Lakeview Parkway, Rowlett, TX 75088",Rockwall,11/1/2025,3/1/2026,"$1,400,000",New Construction,"This project is privately funded, on private land for private use.","Construction of a 7,885 sq. ft. O'Reilly Auto Parts store with site improvements that include 42 parking spaces, a trash enclosure, sidewalk along Lakeview Parkway, utility and stormwater improvements, and landscaping. ","7,885 ft 2",Snoy Emmanuel and Charles-Albert Snoy and Maric Pascale Snoy,"7001 Preston Rd STE 410, Dallas, Texas 75205",(425) 620-3987,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020080,Core States Group,"111 3rd Ave S, Minneapolis, Minnesota 55401",(715) 928-1158
Ranger Title Office - Rockwall,TABS2025019966,Vigor Way Plaza,"550 Vigor Way Suite 100, Rockwall, TX 75087",Rockwall,6/15/2025,10/30/2025,"$275,000",New Construction,"This project is privately funded, on private land for private use.","Approximately 2,700 sqft interior finish out project with offices, conference rooms, lobby, restrooms, and breakroom for Ranger Title Rockwall New Title Offices","2,700 ft 2","700E30, LLC","2 Essex Court, Heath, Texas 75032",469-583-5976,Bob Brewer,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025019966,"1ONEFirm, Inc","4210 Ridge Road Suite #201, Heath, Texas 75032",214-293-7762
Village of Chisholm 8K,TABS2025019801,8k retail,"153 W. FM 550, McLendon-Chisholm, TX 75032",Rockwall,7/7/2025,12/8/2025,"$971,916",New Construction,"This project is privately funded, on private land for private use.",New ground-up shell retail building,"8,000 ft 2","1 One Firm, LLC","4210 Ridge Road STE 201, Heath, Texas 75032",(469) 583-5976,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025019801,"Carroll Architects, Inc.","750 E. Interstate 30, Ste. 110, Rockwall, Texas 75087",(972) 732-6085
Iron Plow Restaurant Addition Project,TABS2025019751,Iron Plow,"105 W Main St, Royse City, TX 75189",Rockwall,6/30/2025,12/31/2025,"$250,000",Additions to Existing Building,"This project is privately funded, on private land for private use.","THIS PROJECT INVOLVES THE ADDITION AND ALTERATION OF A 1 STORY COMMERCIAL BUILDING. WORK INCLUDES ADDITION AND ALTERATION / RECONSTRUCTION OF PARTITIONS, ELECTRICAL, PLUMBING, MECHANICAL AND FIRE ALARM.","1,115 ft 2",FREIT LLC,"5947 KERRY DRIVE, Frisco, Texas 75035",(404) 644-7280,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025019751,,,
