project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url
AutoZone #4351,TABS2025005779,AutoZone,"I-30 Crawford NorthEast, Fate, TX 75132",Rockwall,3/21/2025,5/30/2025,"$3,574,351",Additions to Existing Building,"This project is privately funded, on private land for private use.","Construct a 23,066 Sq.Ft. Addition to existing AutoZone.","23,066 ft 2",AutoZone,"123 South Front Street, Memphis, Tennessee 38103",901-495-6736,AutoZone,"123 South Front Street, Memphis, Tennessee 38103",901-495-8705,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025005779
Glo Tanning Construction,TABS2025005735,Glo Tanning,"1063 E. Interstate 30  Ste #101, Rockwall, TX 75248",Rockwall,12/1/2024,2/1/2025,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior renovation of finishes for tanning salon ,"2,100 ft 2","Nnamdi Holding, LLC","6624 Winterwood Lane, Dallas, Texas 75248",(479) 879-1309,McGregor Murphy Architecture,"310 Whitewing Lane, Murphy, Texas 75094",(817) 454-2384,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025005735
