project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,tenant_name,design_name,design_address,design_phone
BURNS,TABS2025016836,HAPPY HARBOR PEDIATRIC DENTISTRY,"1942 N. LAKESHORE DR., Rockwall, TX 75087",Rockwall,5/13/2025,8/25/2025,"$386,000",New Construction,"This project is privately funded, on private land for private use.",INTERIOR FINISH OUT FOR DENTAL OFFICE ,"2,530 ft 2",AUDREY & COLLIN BURNS,"1942 N. LAKESHORE DR., ROCKWALL, Texas 75087",(214) 263-9082,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016836,,,,
Keller Williams Reality - Rockwall,TABS2025016624,Vigor Way Plaza,"550 Vigor Way Suite 200, Rockwall, TX 75087",Rockwall,5/15/2025,9/30/2025,"$575,000",New Construction,"This project is privately funded, on private land for private use.","Approximately 12,200 sqft interior finish out project with offices, conference rooms, training rooms, lobby, restrooms, and  breakroom for Keller Williams Rockwall Real Estate Team","12,200 ft 2","700E30, LLC","2 Essex Court, Heath, Texas 75032",469-583-5976,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016624,Patty Turner (Keller Williams),"1ONEFirm, Inc","4210 Ridge Road Suite #201, Heath, Texas 75032",214-293-7762
Waffle House #20579,TABS2025016616,Waffle House,"370 W. Interstate 30, Royse City, TX 75189",Rockwall,5/1/2026,10/30/2026,"$300,000",New Construction,"This project is privately funded, on private land for private use.",New Restaurant,"1,840 ft 2","Waffle House, Inc.","5986 Financial Drive, Norcross, Georgia 30071",770-729-5897,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016616,,"Mark D. Pavey, AIA - Architect","PO Box 1365, Gulf Shores, Alabama 36547",(334) 546-3624
LITTLE CAESARS PIZZA,TABS2025016528,STONE RIVER BLDG 1,"2812 EPPS ROAD, Royse City, TX 75189",Rockwall,5/19/2025,10/3/2025,"$250,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",TENANT FINISH-OUT OF A NEW RESTAURANT IN A NEW SPACE IN A STRIP CENTER,"1,291 ft 2",SUKHPREET BARR,"5100 ELDORADO PARKWAY SUITE 100, McKINNEY, Texas 75070",(662) 931-5152,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016528,,,,
