project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url
Rockwall Retail and Car Wash,TABS2024026752,607 White Hills Drive,"607 White Hills Drive, Rockwall, TX 75087",Rockwall,9/15/2024,12/15/2025,"$4,000,000",New Construction,"This project is privately funded, on private land for private use.",ground up car wash building 3700 SF and retail building 2750 SF,"6,450 ft 2",Travel Plaza LLC,"1324 Somerset Lane, Rockwall, Texas 75032",(214) 213-7192,MMK Design Group,"8605 Laurel Canyon Road, Irving, Texas 75063",(214) 995-2299,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024026752
Ladera at Rockwall Phase 2,TABS2024026692,Site-Phase 2,"836 Cordoba Ln, Rockwall, TX 75087",Rockwall,2/24/2022,1/4/2025,"$1,182,396",New Construction,"This project is privately funded, on private land for private use.",Walking trails and ramps within new residential subdivision,"10,000 ft 2","RWLadera, LLC","361 W Byron Nelson Blvd, #104, Roanoke, Texas 76262",(817) 371-3318,McAdams Co,"201 Country View Dr, Roanoke, Texas 76262",940-240-1012,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024026692
We The People Taproom,TABS2024026516,DuWest Rockwell,"165 E Quail Run Road Suite 103, Rockwall, TX 75089",Rockwall,10/7/2024,1/24/2025,"$998,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant fit out of taproom / restaurant,"3,630 ft 2",DuWest Realty,"4403 N Central Expressway Suite 200, Dallas, Texas 75205",(214) 918-1804,LH2 Architecture LLC,"5909 W Loop S Suite 230, BELLAIRE, Texas 77401",(713) 201-2938,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024026516
SHIP QUICK LLC,TABS2024026312,DALROCK CROSSING SHOPPING CENTER,"6310 DALROCK RD #STE. 425, Rowlett, TX 75088",Rockwall,9/15/2024,11/15/2024,"$55,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR REMODEL ,"1,200 ft 2",DALROCK CROSSING JV,"7906 STRAITS DR, ROWLETT, Texas 75088",(214) 938-6839,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024026312
BLUE HARMONY LLC,TABS2024026310,DALROCK CROSSING SHOPPING CENTER,"6310 DALROCK RD #STE. 425, Rowlett, TX 75088",Rockwall,9/15/2024,11/15/2024,"$55,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR RENOVATION ,"1,200 ft 2",DALROCK CROSSING JV,"7906 STRAITS DR, ROWLETT, Texas 75088",(214) 938-6839,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024026310
