project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url,tenant_name
YOGASIX,TABS2025011174,SHOPS AT QUAIL RUN,"159 E QUAIL RUN STE 103, Rockwall, TX 75087",Rockwall,3/28/2025,6/11/2025,"$180,000",New Construction,"This project is privately funded, on private land for private use.",TENANT FIT OUT,"2,000 ft 2","DW QUAIL RUN, LLC","4403 N CENTRAL EXPWY STE 200, DALLAS, Texas 75205",(214) 720-0004,RQA,"16415 ADDISON RD ste 430, ADDISON, Texas 75001",(214) 616-8980,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025011174,
SRS Distribution,TABS2025011096,Texas Pool Supply,"2065 Kristy Lane, Rockwall, TX 75032",Rockwall,3/1/2025,9/1/2025,"$506,463",Additions to Existing Building,"This project is privately funded, on private land for private use.",H-Room addition 875 sf for the storage of hazardous material.,875 ft 2,JHC Redhawk LLC,"2461 N. Stemmons Frwy, Dallas, Texas 75207",(469) 646-7325,Randall Paulson Architects,"85-A Mill St., Suite 200, Roswell, Georgia 30075",(770) 650-7558,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025011096,
Chili's -Royse City,TABS2025010924,Chili's,"NEQ of I-30 & Erby Campbell Blvd, Royse City, TX 75189",Rockwall,5/30/2025,1/13/2026,"$1,200,000",New Construction,"This project is privately funded, on private land for private use.",new ground up construction ,"5,161 ft 2","Roanoke Summit, Ltd.","13155 Noel Rd., Ste 900, Dallas, Texas 75240",(817) 657-1180,ID Studio 4,"6201 Campus Circle Dr E, Irving, Texas 75063",(972) 870-1288,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025010924,Brinker Texas  - Dana Meehan
