project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url
Hargrave Office,TABS2025016023,Hargrave Office,"111 West Main Street, Royse City, TX 75189",Rockwall,6/2/2025,6/1/2026,"$1,200,000",New Construction,"This project is privately funded, on private land for private use.",One story office building.,"4,700 ft 2",Hargrave State Farm,"109 West Main Street Suite A, Royse City, Texas 75189",(972) 635-9995,Killian Design LLC,"3400 N Central Expwy Suite 110-307, Richardson, Texas 75080",(214) 457-3652,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016023
"FBC Rockwall, Interior Classroom Renovation",TABS2025015994,"First Baptist Church, Rockwall, Tx","610 S. Goliad Rockwall, Texas 75087 610 S. Goliad, Rockwall, TX 75078",Rockwall,4/30/2025,7/31/2025,"$125,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation of 4 classrooms and associated corridor,"2,075 ft 2",First Baptist Church Rockwall,"610 S. Goliad 610 S. Goliad Suite 1100, Rockwall, Texas 75087",(972) 771-8459,"HH Architects, Inc","2221 Lakeside Blvd, Suite 1100, Richardson, Texas 75082",(972) 404-1034,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025015994
