project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url,tenant_name
Lakeview Business District - Building 6,TABS2024016609,Lakeview Business District,"NE Corner of PGBT & Merritt Road, Rowlett, TX 75089",Rockwall,6/1/2024,5/1/2025,"$15,885,000",New Construction,"This project is privately funded, on private land for private use.","Construction of one (1) Office / Warehouse building, being fully sprinklered with ESFR Fire Sprinkler System, having tilt-up concrete exterior walls and steel roof structure.","256,239 ft 2",Jackson Shaw,"4800 Alpha Road Suite 100, Dallas, Texas 75244",(972) 628-7412,"Pross Design Group, Inc.","5310 Harvest Hill Road Suite 180, Dallas, Texas 75230",(972) 759-1400,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024016609,
THE HAIR STUDIO,TABS2024016548,DALROCK CROSSING SHOPPING CENTER,"6310 DALROCK RD #STE. 800, Rowlett, TX 75088",Rockwall,4/30/2024,9/30/2024,"$270,000",New Construction,"This project is privately funded, on private land for private use.",INTERIOR FINISH OUT ,"4,000 ft 2",DALROCK CROSSING JOINT VENTURE,"7906 STRAITS DR, ROWLETT, Texas 75088",(214) 938-6839,TLS ARCHITECT LLC,"1615 BARCLAY DR, CARROLLTON, Texas 75077",(214) 533-9899,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024016548,
Fate Village Tavern,TABS2024016373,Fate Village,"4970 E I30, Suite 130, Fate, TX 75189",Rockwall,4/24/2024,7/31/2024,"$250,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant finish out of vacant space in existing building.  Final use to be a full service restaurant.,"3,852 ft 2","TDG-FATE VILLAGE, LLC","6116 N. Central Expressway Suite 617, Dallas, Texas 75206",(972) 569-7353,Rodger Pierce Architect,"429 Big Bow, Smithville, Texas 78957",512-994-5803,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024016373,Joe Hinkson
Lightbridge academy Fate TX,TABS2024016134,Lightbridge Academy Childcare,"memorial parkway, Fate, TX 75087",Rockwall,8/15/2024,8/15/2025,"$3,500,000",New Construction,"This project is privately funded, on private land for private use.","New construction of a ONE Story childcare Care Center Building with sprinkler system - 14,629 sf","14,600 ft 2",LB Fate TX LLC,"116 Grand street, islen, New Jersey 08830",(857) 272-5156,DNA Architects,"192 Riva Avenue, Milltoen, New Jersey 08850",(732) 320-6385,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024016134,
