project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,design_name,design_address,design_phone,project_url
Amazon Fulfillment Center STX8 - QTX1 Ground PADDC,TABS2025017036,Amazon Fulfillment Center STX8,"3051 Research Dr., Richardson, TX 75082",Collin,6/20/2025,10/3/2025,"$500,000",New Construction,"This project is privately funded, on private land for private use.",New Construction (located in parking lot of existing STX8 site). Perimeter fencing around 2 modular structures. Striping on existing pavement within fenced area for accessible circulation and launch / landing pads for delivery system,"9,400 ft 2",Clarion Partners,"One Victory Park 2323 Victory Avenue, Suite 1500, Dallas, Texas 75219",214-647-4905,John Landry,Stantec,"600 Grant Street Suite 4940, Pittsburgh, Pennsylvania 15219",(412) 806-8051,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017036
Prosper (University) Takeover,TABS2025017028,Planet Fitness-Prosper (University),"12235 University Drive, Frisco, TX 75035",Collin,6/1/2025,7/15/2025,"$320,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",interior remodel - changing former TX Family FItness to a Planet Fitness,"20,000 ft 2",TF Fitness OPCO LLC,"PO Box 3525, Coppell, Texas 75019",(262) 812-9051,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017028
Goddard Frisco Legacy Rd.,TABS2025017022,Goddard School,"3188 Legacy Dr., Frisco, TX 75034",Collin,5/15/2025,10/1/2025,"$600,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","The project consists of different areas for an interior renovation of an existing facility for the Goddard School franchise. The building will have rooms for children ranging in age from 6 weeks to 5 years. The existing building is 10,138 sf. ","10,138 ft 2","Wilson Leasing, LLC","11300 Cantrell Rd. #301, Little Rock, Arkansas 72212",(479) 414-9574,,RPPY Architects,"713 W Second St., Little Rock, Arkansas 72201",501-372-0272,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017022
"Parker Plaza West Building B, Select Façade Renovations",TABS2025016982,"Parker Plaza West Building B, Select Façade Renovations","2109 W Parker Rd., Plano, TX 75023",Collin,5/15/2025,11/30/2025,"$1,568,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",No interiors all façade remodel,"3,700 ft 2",Parker Plaza West LTD,"4560 Belt Line Rd. Suite 400, Addison, Texas 75001",(469) 690-9757,,"GSO Architects, Inc.","5310 Harvest Hill Rd. Suite 226 LB. 156, Dallas, Texas 75230",(972) 385-9651,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016982
"Parker Plaza West Building A, Select Façade Renovations",TABS2025016981,"Parker Plaza West Building A, Select Façade Renovations","2109 W Parker Rd., Plano, TX 75023",Collin,5/15/2025,11/30/2025,"$672,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",no interior work all façade remodel,"1,500 ft 2",Parker Plaza West LTD,"4560 Belt Line Rd. Suite 400, Addison, Texas 75001",(469) 690-9757,,"GSO Architects, Inc.","5310 Harvest Hill Rd. Suite 226 LB. 156, Dallas, Texas 75230",(972) 385-9651,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016981
Mercedes Benz of Plano,TABS2025016970,Mercedes Benz of Plano,"6455 Dallas Parkway, Plano, TX 75024",Collin,5/20/2025,4/20/2026,"$2,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior renovation of the showroom and offices,"40,000 ft 2",Finley Ewing IV,"6455 Dallas Parkway, Plano, TX 75024, Plano, Texas 75204",972-867-5222,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016970
C17 1F SE LAB Package #6,TABS2025016955,Raytheon CityLine C17,"2727 LBJ Freeway Suite 1013, Richardson, TX 75028",Collin,5/1/2025,9/1/2025,"$1,500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation of existing office space.,"9,615 ft 2",RTX,"1717 East Cityline Dr., Richardson, Texas 75082",503 209 3540,,MJMc Architects,"2727 LBJ Freeway Suite 1013, Farmers Branch, Texas 75234",(469) 941-0433,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016955
C17 1F SW LAB Package #5,TABS2025016953,Raytheon CityLine C17,"2727 LBJ Freeway Suite 1013, Richardson, TX 75234",Collin,5/1/2025,9/1/2025,"$1,500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation of an existing office space.,"7,046 ft 2",RTX,"1717 East Cityline Dr., Richardson, Texas 75082",503 209 3540,,MJMc Architects,"2727 LBJ Freeway Suite 1013, Farmers Branch, Texas 75234",(469) 941-0433,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016953
Celina Parks Administration Building,TABS2025016941,Parks Department Administration Building,"503 E. Pecan St, Building D, Celina, TX 75009",Collin,6/15/2025,6/15/2026,"$7,000,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.",Renovation of existing PEMB into office space.,"15,000 ft 2",City of Celina,"142 N. Ohio Street, Celina, Texas 75009",469-813-4194,,Parkhill,"3000 Internet Blvd. Ste. 550, Frisco, Texas 75034",972-987-1670,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016941
Wilson Creek Park Phase I,TABS2025016927,N/A,"2100 E Sunset Blvd, Celina, TX 75009",Collin,7/1/2025,7/1/2026,"$12,200,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","Lighted Multi-Use Field Areas, Prefabricated Restroom Concession Building, Parking Lot/Drives, Pedestrian Trails, Landscaping and Irrigation. Disturbed area in Phase 1 is approx. 39Acres. Includes irrigation pond","1,698,840 ft 2",City of Celina,"300 W. Maple, celina, Texas 75009",(972) 658-3298,,Dunaway,"550 Bailey Ave  #400, Fort worth, Texas 76107",(214) 288-9869,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016927
THE GREENWAY ADDITION,TABS2025016863,THE GREENWAY ADDITION,"961 S WESTGATE WAY, Wylie, TX 75098",Collin,4/1/2026,4/1/2027,"$1,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",NEW SHELL CONSTRUCTION ,"8,594 ft 2",FM CAPITAL INVESTMENTS LLC,"106 LIVE OAK DR, WYLIE, Texas 75098",(214) 727-6988,,BEAR DESIGN BUILD,"2965 VILLA CREEK DR #STE. 110, DALLAS, Texas 75234",(469) 682-7038,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016863
ARTERIAL CONCRETE REPAIR CUSTER RD PWS00067,TABS2025016862,CITY OF PLANO,"CUSTER RD - SH 121 TO HEDGECOXE RD, Plano, TX 75075",Collin,7/7/2025,9/6/2027,"$267,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.",repair or replace 15000 sf of sidewalk and 30 bfr ,"15,000 ft 2",CITY OF PLANO,"625 DIGITAL DR, PLANO, Texas 75075",(972) 769-4140,,CITY OF PLANO,"625 DIGITAL DR, PLANO, Texas 75075",(972) 769-4140,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016862
KIMIYA,TABS2025016860,KIMIYA,"1615 N CENTRAL EXPY, Mckinney, TX 75070",Collin,6/1/2025,9/15/2025,"$200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",RENOVATION ,"5,327 ft 2",MCKINNEY KOI,"1615 N CENTRAL EXPY, MCKINNEY, Texas 75070",(469) 307-2802,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016860
Barker Viggato CPA,TABS2025016849,Preston Park Towers East,"4965 Preston Park Blvd. Suite 750, Plano, TX 75093",Collin,4/28/2025,7/18/2025,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,"2,415 ft 2",Preston Park Office Center LLC / TerraCap Management,"999 Vanderbilt Beach Rd. Suite 701, Naples, Florida 34108",(239) 540-2022,,Entos Design,"5400 LBJ Freeway Suite 125, Dallas, Texas 75240",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016849
CCREM,TABS2025016847,CCREM,"1900 Preston Road #267-167, Plano, TX 75093",Collin,5/1/2025,9/1/2025,"$480,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant finish out - remodel.,"22,383 ft 2","Plano 6100, LLC","1900 Preston Road #267-167, Plano, Texas 75093",(469) 984-6123,,Jones Commercial Interiors,"3900 Willow Street, Suite 150, Dallas, Texas 75226",(972) 690-3400,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016847
Black Rock Coffee,TABS2025016843,Black Rock Coffee,"4001 West University Drive, Mckinney, TX 75071",Collin,4/23/2025,1/15/2026,"$130,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Remodel,837 ft 2,Seitz Group,"1110 Cowan Rd, Celina, Texas 75009",682.235.2055,,Studio Wadt,"230 E Wood Dr., Phoenix, Arizona 85022",480.747.5666,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016843
Shoe Palace,TABS2025016839,Allen Premium Outlets,"820 W STACY RD SUITE 224, Allen, TX 75013",Collin,6/2/2025,9/25/2025,"$240,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Remodel of an existing 4,000 SF retail space for Shoe Palace Corporation. New finishes, mechanical and electrical. No plumbing under this scope of work. ","4,000 ft 2",Simon Properties,"820 W. Stacy Rd, Suite 163, Allen, Texas 75013",(972) 678-7001,Elliot Flaum,Quorum Architects,"825 W. Vickery    Ste 100, Forth Worth, Texas 76104",(817) 546-6311,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016839
CUSTER OAKS,TABS2025016797,BLDG 9 - #SUITE 810 & 805,"LOT 4, BLOCK A, CUSTER OAKS BLDG 9, Frisco, TX 75035",Collin,5/30/2025,6/15/2025,"$159,960",Additions to Existing Building,"This project is privately funded, on private land for private use.",INTERIOR ADDON ,"2,042 ft 2",SMMR REAL ESTATE HOLDING SLLC,"12469 WILLOW GATE DR, FRISCO, Texas 75035",(405) 334-9656,,CORINTHIAN DESIGN ASSOCIATES LLC,"10420 AMBERGATE LN, FRISCO, Texas 75035",(214) 223-4501,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016797
THE GRAND URBANE - BLDG 3,TABS2025016796,-,"GRAND URBANE ADDITION BLK A LOT 5, SH 121, Frisco, TX 75035",Collin,5/15/2025,10/20/2025,"$496,000",New Construction,"This project is privately funded, on private land for private use.",SHELL BUILDING,"6,200 ft 2",121 HILLCREST LLC,"5605 MATTERHORN DR, FRISCO, Texas 75035",(938) 708-9589,,PATRICK AHEARNE ARCHITECT,"814 WIND ELM DR, ALLEN, Texas 75002",(214) 673-0054,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016796
THE GRAND URBANE - BLDG 2,TABS2025016794,-,"GRAND URBANE ADDITION BLK A LOT 5, SH 121, Frisco, TX 75035",Collin,5/15/2025,10/20/2025,"$496,000",New Construction,"This project is privately funded, on private land for private use.",SHELL BUILDING ,"6,200 ft 2",121 HILLCREST LLC,"5605 MATTERHORN DR, FRISCO, Texas 75035",(938) 708-9589,,PATRICK AHEARNE ARCHITECT,"814 WIND ELM DR, ALLEN, Texas 75002",(214) 673-0054,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016794
THE GRAND URBANE - BLDG 1,TABS2025016793,-,"GRAND URBANE ADDITION BLK A LOT 5, SH 121, Frisco, TX 75035",Collin,5/15/2025,10/20/2025,"$534,720",New Construction,"This project is privately funded, on private land for private use.",SHELL BULDING ,"6,684 ft 2",121 HILLCREST LLC,"5605 MATTERHORN DR, FRISCO, Texas 75035",(938) 708-9589,,PATRICK AHEARNE ARCHITECT,"814 WIND ELM DR, ALLEN, Texas 75002",(214) 673-0054,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016793
CBA Plano TX Remodel,TABS2025016784,Christian Brothers Automotive,"5800 K Ave, Plano, TX 75074",Collin,5/1/2025,7/1/2025,"$200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior remodel of an existing light automotive repair store, both the office and the garage.","5,015 ft 2",Christian Brothers Automotive,"5800 K Ave, Plano, Texas 75074",(972) 804-2070,,"Icon Architects, Inc.","703 San Ysidro Trail, Mansfield, Texas 76063",(817) 946-7503,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016784
Murphy USA McKinney,TABS2025016781,Murphy USA,"500 W University Drive, Mckinney, TX 75069",Collin,11/13/2025,3/13/2026,"$800,000",New Construction,"This project is privately funded, on private land for private use.","Demolition of existing office complex and building a new Murphy Gas station with 2800 sf building, canopy and underground storage tanks.","2,800 ft 2",Murphy Oil USA Inc.,"200 East Peach Street, El Dorado, Arkansas 71730",(870) 677-0481,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016781
Devils & Angles,TABS2025016777,Wylie Neighborhood Shops by state llc,"1808 N State HWY 78 STE 104, Wylie, TX 75098",Collin,4/16/2025,5/31/2025,"$50,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Boba tea shop,"1,323 ft 2",Wylie Neighborhood Shop by Slate LLC,"5729 Lebanon Road Suite 144-589, Frisco, Texas 75034",(214) 718-2626,Sonia Ali,VERTICAL ARTS BLUEPRINTS AND PERMITS,"2833 Crockett St., Fort Worth, Texas 76107",(682) 402-1523,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016777
My Swim Buddy,TABS2025016768,My Swim Buddy,"565 S Preston Rd, Unit 110, Celina, TX 75209",Collin,6/2/2025,12/31/2025,"$1,200,000",New Construction,"This project is privately funded, on private land for private use.","FIRST GENERATION TENANT IMPROVEMENT IN A SHELL BUILDING LOCATED AT CELINA STATION. THE FACILITY WILL BE 4,715 SF INDOOR SWIMMING FACILITY FOR USE IN TEACHING SWIM LESSONS.","4,715 ft 2",Tiffany Hoggard,"3311 Preston Hills Cir., Prosper, Texas 75078",(469) 253-7712,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016768
Active imaging,TABS2025016749,Willow bend professional building,"3001 Dallas PKWY #200, Plano, TX 75809",Collin,4/25/2025,8/25/2025,"$72,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",interior finish out,"1,254 ft 2",Ladan Bakhtari,"3001 dallas pkwy, plano, Texas 75093",(214) 280-2400,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016749
Robo-Shawarma,TABS2025016746,The Grove,"Custer Rd & Rolater Rd, Frisco TX 75070 The Grove Frisco Retail, Block A, Lot 1, Frisco, TX 75070",Collin,6/2/2025,9/1/2025,"$350,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Proposed Tenant Fit out of an existing retail space for a future restaurant which includes interior partition walls , kitchen and restrooms. Scope also includes Mechanical and Electrical and plumbing work.","2,400 ft 2",Khaled Olayan Alahamadi,"8253 Nicholson drive, Frisco, Texas 75036",(424) 391-5979,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016746
KING BUFFET EXTERIOR RENOVATION,TABS2025016745,KING BUFFET,"521 CENTRAL PKWY E, Plano, TX 75074",Collin,6/15/2025,12/15/2025,"$350,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",RENOVATION ,"10,516 ft 2",DANNY YE,"538 HAGGARD ST #STE. 412, PLANO, Texas 75074",(972) 999-6455,,SUNFLOWER CONSTRUCTION LLC,"3948 SUNFLOWER LN, PLANO, Texas 75025",(817) 789-1214,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016745
The UPS Store,TABS2025016700,H-E-B Shopping center,"140 Bucees Blvd, Melissa, TX 75454",Collin,5/20/2025,8/30/2025,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","INTERIOR FINISH OUT TO INCLUDE: FLOORING, DEMISING WALL, ACT CEILING, ONE ADA RR, FIXTURES  1500 sq ft","1,500 ft 2","H-E-B, LP","P.O. Box 839955, San Antonio, Texas 78283",210-938-8145,Kyle Clemmons,Lawrence Group,"319 N. 4TH St., Suite 1000, St. Louis, Missouri 63102",314-231-5700,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016700
