project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url,tenant_name
Frisco Family Eye Care Expansion,TABS2025006558,BPP AT 5858 Main ST,"5858 W. Main St. Suite #110, Frisco, TX 75033",Collin,1/13/2025,2/17/2025,"$84,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Alterations to an existing suite and combining it and another suite together.,"3,885 ft 2",SPT Ivey Frisco MOB LLC,"1255 23rd Street NW, Washington D.C., Washington D.C 20037",(202) 507-6708,Lincoln Property Company,"8140 Walnut Hill Ln. Suite #700 / Mailbox #8, Dallas, Texas 75231",214.461.2305,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025006558,
J Alexander's Restaurant,TABS2025006529,Gates of Prosper,"Hwy 380 & Preston Rd, Prosper, TX 75078",Collin,2/15/2025,8/15/2025,"$4,100,000",New Construction,"This project is privately funded, on private land for private use.",new construction restaurant,"9,293 ft 2",SPB Hospitality,"19219 Katy Fwy STE 500, Houston, Utah 77094",(591) 906-8416,Conquest DDG,"14901 Quorum Dr STE 600, Dallas, Texas 75254",(214) 907-8064,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025006529,
AG Prosper Medtail,TABS2025006515,AG Prosper Medtail,"1200 S. Coit Rd, Prosper, TX 73114",Collin,11/4/2024,5/2/2025,"$2,409,122",New Construction,"This project is privately funded, on private land for private use.","New build, gray shell","11,735 ft 2","AG Prosper RE Holdings, LLC","12360 Market Drive, OKLAHOMA CITY, Oklahoma 73114",(405) 922-8744,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025006515,
Anchor Bar & Restaurant,TABS2025006503,Frisco Square Phase 2,"6129 Main Street, Frisco, TX 75034",Collin,12/2/2024,4/11/2025,"$450,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",interior remodel ,"9,388 ft 2",Frisco Square MOLP LLC,"104 Armour Road, Kansas City, Missouri 64116",(214) 872-1054,Plan B Group,"3710 commerce st, Dallas, Texas 75226",(214) 522-0006,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025006503,Shyam Achivenkata
The Bradford,TABS2025006493,Rec/Leasing Building,"Pinto Creek Drive & Paso Fino Trail, Celina, TX 75078",Collin,4/1/2025,3/31/2027,"$1,200,000",New Construction,"This project is privately funded, on private land for private use.",New construction of a Recreation / Leasing Office for a Multi-Family Project.,"734,717 ft 2",Westwood Residential,"3198 Parkwood Blvd suite 11076, Frisco, Texas 75034",(972) 292-7656,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025006493,
Plano TX SAOC Refit,TABS2025006485,Village at 121,"8261 Belleview Drive, Suite #200, Plano, TX 75024, Plano, TX 75024",Collin,12/16/2024,2/14/2025,"$725,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Tenant Improvement to an existing building with basic architectural design and MEP disciplines, limited to second floor suite. Construction of a secure office suite and an open laboratory space with support network room.","9,600 ft 2",Village 121 Office LLC,"2000 MCKINNEY AVE STE 1000, Dallas, Texas 75021",(817) 504-4077,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025006485,Dave Smith
Smalls Sliders,TABS2025006469,Smalls Sliders,"1681 N Hardin Blvd., Mckinney, TX 75071",Collin,12/10/2024,3/5/2025,"$850,000",New Construction,"This project is privately funded, on private land for private use.",Single story Smalls Sliders modular building project.,800 ft 2,Chris Raleigh,"1681 N HARDIN BLVD., McKINNEY, Texas 75071",(225) 278-9651,"Abrams Architecture & Design, LLC","3809 Youree Drive, Shreveport, Louisiana 71105",(318) 407-1297,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025006469,
AP West F&B,TABS2025006441,AP West F&B,"6185 ASSEMBLY PARK BLVD, Plano, TX 75074",Collin,1/2/2025,6/30/2025,"$2,000,000",New Construction,"This project is privately funded, on private land for private use.",First time interior finish out of an interior food and beverage space.,"10,299 ft 2",Plano Mall Owner LP,"5485 Belt Line Road Suite 360, Dallas, Texas 75254",(832) 615-1417,Agent Architecture,"1414 Belleview St Suite 150, Dallas, Texas 75215",(214) 775-0823,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025006441,Jacob Cox
"Heartland Dental, Lavon",TABS2025006424,Heartland Dental Lavon,"833 South State HWY 78, Lavon, TX 75166",Collin,3/3/2025,10/31/2025,"$1,400,000",New Construction,"This project is privately funded, on private land for private use.",New ground up dental office,"4,251 ft 2",WMG Development,"1200 Network Centre Drive, Effingham, Illinois 62401",(309) 369-3431,GPD Group Professional Corporation,"520 South Main Street Suite 2531, Akron, Ohio 44311",330-434-0056,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025006424,
The Lofts at Watters Creek Apartments,TABS2025006380,The Lofts at Watters Creek Apartments,"935 GARDEN PARK DR BLDG P STE 255 935 GARDEN PARK DR BLDG P STE 255, Allen, TX, Allen, TX 75013",Collin,11/25/2024,12/30/2024,"$65,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Office Remodel, Move some walls, new floor, new paint","2,400 ft 2",Weidner Apartment Homes,"9757 Juanita Dr NE #300, Kirkland, Washington 98034",(425) 250-2973,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025006380,
