project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url,tenant_name
THE OFFICES AT PROSPER 380 #1103,TABS2025013677,THE OFFICES AT PROSPER 380,"2120 PRAIRIE DR. BLDG 11 #STE. 1103, Prosper, TX 75078",Collin,5/1/2025,11/1/2025,"$75,000",New Construction,"This project is privately funded, on private land for private use.",NEW CONSTRUCTION ,"1,122 ft 2",CLOUD LOFT,"8072 PRESTON RD #STE. 205, FRISCO, Texas 75034",(214) 497-7725,NOVE STUDIOS LLC,"5050 QUORUM DR #STE. 150, DALLAS, Texas 75254",(214) 814-1178,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013677,
THE OFFICES AT PROSPER 380 #STE. 1102,TABS2025013676,THE OFFICES AT PROSPER 380,"2120 PRAIRIE DR. BLDG 11 #STE. 1102, Prosper, TX 75078",Collin,5/1/2025,11/1/2025,"$75,000",New Construction,"This project is privately funded, on private land for private use.",NEW CONSTRUCTION ,"1,122 ft 2",CLOUD LOFT,"8072 PRESTON RD #STE. 205, FRISCO, Texas 75034",(214) 497-7725,NOVE STUDIOS LLC,"5050 QUORUM DR #STE. 150, DALLAS, Texas 75254",(214) 814-1178,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013676,
THE OFFICES AT PROSPER 380 #1101,TABS2025013675,THE OFFICES AT PROSPER 380,"2120 PRAIRIE DR. BLDG 11 #STE. 1101, Prosper, TX 75078",Collin,5/1/2025,11/1/2025,"$750,000",New Construction,"This project is privately funded, on private land for private use.",NEW CONSTRUCTION ,"1,122 ft 2",CLOUD LOFT,"8072 PRESTON RD #STE. 205, FRISCO, Texas 75034",(214) 497-7725,NOVE STUDIOS LLC,"5050 QUORUM DR #STE. 150, DALLAS, Texas 75254",(214) 814-1178,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013675,
THE OFFICES AT PROSPER 380 B11 SHELL,TABS2025013674,THE OFFICES AT PROSPER 380,"2120 PRAIRIE DR. BLDG 11 BLDG 11, Prosper, TX 75078",Collin,5/1/2025,11/1/2025,"$300,000",New Construction,"This project is privately funded, on private land for private use.",NEW CONSTRUCTION ,"3,358 ft 2",CLOUD LOFT,"8072 PRESTON RD #STE. 205, FRISCO, Texas 75034",(214) 497-7725,NOVE STUDIOS LLC,"5050 QUORUM DR #STE. 150, DALLAS, Texas 75254",(214) 814-1178,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013674,
AT&T 2900 West Plano Pkwy,TABS2025013651,2900 W Plano Pkwy,"2900 West Plano Pkwy, Plano, TX 77046",Collin,4/4/2025,9/30/2025,"$8,566,900",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation of an existing office space,"85,669 ft 2",SIR REIT Plano LLC,"8350 N Central Expressway Suite 1430, Dallas, Texas 75206",(346) 201-6211,Corgan,"401 N Houston St, Dallas, Texas 75202",(346) 201-6211,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013651,
Collin College Frisco - Locker Room renovation,TABS2025013650,Collin College,"9700 Wade Blvd, Frisco, TX 75035",Collin,4/1/2025,6/30/2025,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation in existing locker rooms to create new entrances into locker room spaces. Area under scope is 1400sft. ,"1,400 ft 2",Collin College,"2200 W. University Drive, McKinney, Texas 75071",972-758-3841,Corgan Associates,"401 N. Houston St, Dallas, Texas 75202",(214) 748-2000,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013650,
Collin College McKinney reclad,TABS2025013645,Collin College,"2200 W. University Drive, Mckinney, TX 75071",Collin,4/1/2025,7/31/2025,"$1,200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Exterior reclad of Maintenance building and Shed which are pre-engineered metal buildings at Collin College McKinney Campus. Scope of the project doesn't involve interior program changes and renovation of spaces. Total Area is 9800 sft.,"9,800 ft 2",Collin College,"2200 W. University Drive, McKinney, Texas 75071",972-599-3125,Corgan Associates,"401 N. Houston St., Dallas, Texas 75202",214-748-2000,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013645,
Home Depot - Celina TX,TABS2025013622,The Home Depot,"3425 S Preston Road Ownsby Parkway & Preston Road, Celina, TX 75009",Collin,8/1/2025,6/25/2026,"$13,000,000",New Construction,"This project is privately funded, on private land for private use.",New construction of a new Home Depot with Garden Center.,"137,781 ft 2",The Home Depot,"2455 Paces Ferry Road, Atlanta, Georgia 30039",(770) 433-8211,Greenberg Farrow,"92 E Main Street Suite 410, Somerville, New Jersey 08876",917-689-2729,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013622,
Kimpton Hotel & Restaurant,TABS2025013615,Kimpton Hotel & Restaurant,"Legacy Town Center North #2, Plano, TX 75024",Collin,6/2/2025,12/28/2026,"$12,000,000",New Construction,"This project is privately funded, on private land for private use.",New ground up 5 story hotel. ,"34,566 ft 2","Supreme Bright Plano II, LLC","1785 State Hwy. 26 Suite 400, Grapevine, Texas 75621",(214) 774-4650,LLW Architects,"803 Mount Moriah Suite 100B, Memphis, Tennessee 38117",901 683 7175,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013615,
Prosper Business Park,TABS2025013608,Bldg 14,"Block B Lot 10, Prosper, TX 75078",Collin,3/31/2025,11/17/2025,"$2,500,000",New Construction,"This project is privately funded, on private land for private use.",First generation ground up warehouse shell bldg,"25,000 ft 2",Crossland Texas Industrial LLC,"701 Industry Way Suite 100, prosper, Texas 75078",972-347-5659,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013608,
Prosper Business Park,TABS2025013605,Bldg 13,"Block B Lot 11, Prosper, TX 75078",Collin,3/31/2025,11/17/2025,"$2,000,000",New Construction,"This project is privately funded, on private land for private use.",First Generation shell warehouse ground up bldg.,"20,000 ft 2",Crossland Texas Industrial LLC,"701 Industry Way Suite 100, Prosper, Texas 75078",972-347-5659,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013605,
"Lowe's of Princeton, TX",TABS2025013597,Lowe's Home Improvement,"US Highway 380 and N Beauchamp Blvd, Princeton, TX 75407",Collin,8/1/2025,10/1/2026,"$11,000,000",New Construction,"This project is privately funded, on private land for private use.",New construction of Lowe's Home Improvement Store,"107,136 ft 2","Lowe's Home Centers, LLC","1000 Lowe's Boulevard, Mooresville, Tennessee 28117",(704) 758-1000,Blue Ridge Architecture,"1313 Kalmia Road, Knoxville, Tennessee 37909",(865) 603-0007,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013597,
Plano (Coit) Remodel,TABS2025013588,Planet Fitness-Plano (Coit),"6205 Coit Rd Suite 205, Plano, TX 75024",Collin,5/1/2025,6/20/2025,"$375,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",interior remodel of an existing Planet Fitness,"25,000 ft 2","JAHCO Marketplace at Plano, LLC","1008 East Hefner Rd, Oklahoma City, Oklahoma 73131",(405) 478-0601,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013588,
Halal Papi,TABS2025013531,Shoppes at Allen Heights,"1206 E Main St. #101, Allen, TX 75002",Collin,3/15/2025,5/1/2025,"$80,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Shell finish out for food takeout business,922 ft 2,Century llc,"PO Box 863975, Plano, Texas 75086",(214) 736-4618,Bearhouse Designs,"PO Box 1907, McKinney, Texas 75086",469-247-4109,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013531,Ahmad Elattar
Quick Splash Car Wash,TABS2025013512,Quick Splash Car Wash,"380 N Princeton Xrds, Princeton, TX 75407",Collin,5/5/2025,5/5/2026,"$1,500,000",New Construction,"This project is privately funded, on private land for private use.",New car wash facility,"5,186 ft 2",AFK Wash Investments LLC,"11528 Harry Hines Blvd. #B213, Dallas, Texas 75229",(972) 765-8539,A Plus Design Group,"2653 Sagebrush Dr. #200, Flower Mound, Texas 75028",972-724-4440,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013512,
FRISCO 4 DENTAL OFFICE,TABS2025013493,N/A,"5501 Preston Road, Suite 130, Frisco, TX 75034",Collin,7/21/2025,11/18/2025,"$221,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","3,400 S.F. DENTAL OFFICE, NON STRUCTURAL PARTITIONS, TWO RESTROOMS, MECHANICAL DISTRIBUTION SUPPLY/RETURNS, PLUMBING, T-BAR CEILING, LIGHTS, OUTLETS, SWITCHES ","3,400 ft 2",SCSD-FINNELL LTD,"14114 DALLAS PKWY STE 670, Dallas, Texas 75254",214-483-0400,PDS Health,"2044 California Ave, Corona, California 92881",(714) 374-5132,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013493,Nick Sobel
MCKINNEY 2 RELO DENTAL OFFICE,TABS2025013487,N/A,"8751 W University Dr., Suite 130, Mckinney, TX 75071",Collin,6/16/2025,10/14/2025,"$242,710",Renovation/Alteration,"This project is privately funded, on private land for private use.","3,734 S.F. DENTAL OFFICE, NON STRUCTURAL PARTITIONS, TWO RESTROOMS, MECHANICAL DISTRIBUTION SUPPLY/RETURNS, PLUMBING, T-BAR CEILING, LIGHTS, OUTLETS, SWITCHES","3,734 ft 2",ENTERTAINMENT PROPERTIES 360 LLC,"4514 COLE AVE STE 1100, Dallas, Texas 75205",214-750-7688,PDS Health,"2044 California Ave 2044 California Ave, Corona, California 92881",(714) 374-5132,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013487,Nick Sobel
Cheba Hut McKinney,TABS2025013445,Lake Forest & 380,"4610 W University Dr #160, Mckinney, TX 75071",Collin,5/1/2025,8/1/2025,"$500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Building of new restaurant in grey shell space ,"2,200 ft 2",Manoj Bhakta,"12691 Royal Oaks Ln, Farmers Branch, Texas 75234",(903) 413-4050,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013445,
Bank of America Interior Renovation,TABS2025013444,Bank of America,"7001 Independence Parkway, Plano, TX 75025",Collin,4/22/2025,8/5/2025,"$320,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Alteration to existing single story branch bank interior.,333 ft 2,Bank of America NA,"PO Box 32727, Charlotte, North Carolina 28232",(623) 876-2792,Gensler,"101 South Tryon Street, Suite 2100, Charlotte, North Carolina 28280",713-294-0285,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013444,
