project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,design_name,design_address,design_phone,project_url
Einstein Bros Bagels -Plano Tx,TABS2024017163,Einstein Bros Bagels,"565 Coit Rd. Suite 550, Plano, TX 75075",Collin,7/6/2024,2/1/2025,"$350,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",tenant finish out ,"1,642 ft 2",Billingsley Company,"1722 Routh Street Suite 770, Dallas, Texas 75201",(214) 270-0942,Erik Smith-Einstein Bros Bagels,"ID Studio 4, LLC","6201 Campus Circle Dr E, Irving, Texas 75063",(469) 579-2227,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024017163
New Shop,TABS2024017148,Celina Town Center,"1060 South Preston Road Suite 100, Celina, TX 75009",Collin,5/14/2024,7/1/2024,"$98,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Renovation of existing space to create 2,670 sqft store","2,670 ft 2",Celina Town Center LTD,"25 Highland Park Village Suite 100-574, Dallas, Texas 75205",(214) 536-3781,,Projects and Constructions Araque LLC,"18601 LBJ Freeway Suite 250, Mesquite, Texas 75150",(972) 469-9387,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024017148
McKinney Corporate Center I First Floor Restrooms,TABS2024017142,McKinney Corporate Center I,"6800 Weiskopf Ave First Floor, Mckinney, TX 75070",Collin,6/1/2024,8/30/2024,"$88,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior cosmetic remodel to existing first floor common area restrooms,580 ft 2,"Eagle Tree Partners - McKinney, LLC","5700 W Plano Pkwy Suite 1650, Plano, Texas 75093",(214) 417-4905,,Presto Interior Design,"7522 Campbell Rd Ste 113-267, Dallas, Texas 75248",(214) 728-4910,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024017142
DR. RICKY SIDHU,TABS2024017114,VENUS MEDICAL AESTHETICS,"4021 S. CUSTER RD. SUITE 2120, Mckinney, TX 75070",Collin,5/7/2024,7/29/2024,"$216,300",New Construction,"This project is privately funded, on private land for private use.",INTERIOR FINISHOUT FOR MEDICAL OFFICE,"1,460 ft 2",H3M REALTY,"10414 TOFFENHAM DR, FRISCO, Texas 75035",414-217-7715,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024017114
INTERSECTION IMPROVEMENTS CPN 7458,TABS2024017106,CITY OF PLANO,"MULTIPLE LOCATIONS, Plano, TX 75069",Collin,10/1/2024,6/1/2025,"$3,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","SIDEWALKS, RAMPS, SIGNS AND BFR ","120,000 ft 2",CITY OF PLANO,"1520 K AVENUE 2ND FLR #STE. 250, PLANO, Texas 75074",(972) 941-7564,,LAMB-STAR ENGINEERING LLC,"3801 PARKWOOD BLVD, FRISCO, Texas 75034",(214) 440-3630,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024017106
Melissa Industrial - Office Finish Out,TABS2024017080,Melissa Industrial Development,"Calahar Drive, Suite A, Melissa, TX 75454",Collin,6/1/2024,9/1/2024,"$300,000",New Construction,"This project is privately funded, on private land for private use.","Finish out of office space to include reception, open office, private offices, restrooms, break room and storage.","1,500 ft 2","Melissa 121 Investments, LLC","1701 Nueces St., Austin, Texas 78701",(512) 651-1012,,Fuse Architecture Studio,"1005 E St Elmo Road Building 4, Austin, Texas 78745",(512) 992-1520,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024017080
Suite 140,TABS2024017054,International Business Park,"6275 West Plano parkway Suite 140, Plano, TX 75093",Collin,4/30/2024,8/30/2024,"$350,000",New Construction,"This project is privately funded, on private land for private use.","Non structural interior finish out in an existing signle floor suite. Scope includes HVAC, electrical, and plumbing","4,226 ft 2",Billingsley Company,"1722 Routh St Suite 770, Dallas, Texas 75201",(972) 820-2236,,idGROUP,"2641 Irving Blvd., Dallas, Texas 75207",(214) 638-6800,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024017054
Spec Suite 210,TABS2024017007,Hall Park - Park I,"2601 Network Blvd. Suite 210, Frisco, TX 75034",Collin,5/15/2024,12/31/2024,"$397,916",Renovation/Alteration,"This project is privately funded, on private land for private use.",Capital Improvement ,"5,464 ft 2",Hall Group,"3000 Internet Blvd. Suite 100, Frisco, Texas 75034",214.269.9509,,Entos Design,"5400 LBJ Freeway Suite 125, Dallas, Texas 75240",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024017007
Spec Suite 370,TABS2024017005,Hall Park - Technology V,"3211 Internet Blvd. Suite 370, Frisco, TX 75034",Collin,5/15/2024,12/31/2024,"$331,428",Renovation/Alteration,"This project is privately funded, on private land for private use.",Capital Improvement ,"5,552 ft 2",Hall Group,"3000 Internet Blvd. Suite 100, Frisco, Texas 75034",214.269.9509,,Entos Design,"5400 LBJ Freeway Suite 125, Dallas, Texas 75240",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024017005
Spec Suite 240,TABS2024017004,Hall Park - Technology V,"3211 Internet Blvd. Suite 240, Frisco, TX 75034",Collin,5/15/2024,12/31/2024,"$239,231",Renovation/Alteration,"This project is privately funded, on private land for private use.",Capital Improvement ,"2,668 ft 2",Hall Group,"3000 Internet Blvd. Suite 100, Frisco, Texas 75034",214.269.9509,,Entos Design,"5400 LBJ Freeway Suite 125, Dallas, Texas 75240",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024017004
Spec Suite 235,TABS2024017002,Hall Park - Technology V,"3211 Internet Blvd. Suite 235, Frisco, TX 75034",Collin,5/15/2024,12/31/2024,"$191,554",Renovation/Alteration,"This project is privately funded, on private land for private use.",Capital Improvement ,"3,022 ft 2",Hall Group,"3000 Internet Blvd. Suite 100, Frisco, Texas 75034",214.269.9509,,Entos Design,"5400 LBJ Freeway Suite 125, Dallas, Texas 75240",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024017002
Prime IV Prosper,TABS2024017001,Prime IV - Hydration & Wellness,"750 Richland Blvd, Ste 60, Prosper, TX 75078",Collin,5/31/2024,7/24/2024,"$266,663",Renovation/Alteration,"This project is privately funded, on private land for private use.",Finish out of a first generation space,"2,198 ft 2","380 & 289, LP","8000 Warren Parkway, Building I, Ste 100, Frisco, Texas 75034",(214) 740-3300,Steven Samuelson,BR Design & Architecture,"1 Trans Am Plaza Dr., Oakbrook Terrace, Illinois 60181",708.508.7281,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024017001
Spec Suite 230,TABS2024017000,Hall Park - Technology V,"3211 Internet Blvd. Suite 230, Frisco, TX 75034",Collin,5/15/2024,12/31/2024,"$217,599",Renovation/Alteration,"This project is privately funded, on private land for private use.",Capital Improvement ,"3,154 ft 2",Hall Group,"3000 Internet Blvd. Suite 100, Frisco, Texas 75034",214.269.9509,,Entos Design,"5400 LBJ Freeway Suite 125, Dallas, Texas 75240",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024017000
Sephora- Gates of Prosper,TABS2024016999,Gates of Prosper,"1070 S. Preston Rd,, Prosper, TX 75078",Collin,10/27/2024,11/15/2024,"$80,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","This project is a remodel of an existing tenant fit-out of approximately 4,380 SF. Work includes new and relocated sales floor fixtures, floor finish replacement and minor electrical work. Existing storefront to remain as is. ","4,380 ft 2",Lincoln Property Company,"8111 Douglas Ave, Suite 600, Dallas, Texas 75225",816.868.8687,Elias Abu Shanab,Sargenti Architects,"234 E. Colorado BLVD Suite 850, Pasadena, California 91101",408-201-4809,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024016999
CJJF Martial Arts Studio,TABS2024016997,CJJF Jui-Jitsu Self Defense,"3801 Virginia Parkway BLDG A - Suite 700, Mckinney, TX 75071",Collin,5/24/2024,1/24/2025,"$200,000",New Construction,"This project is privately funded, on private land for private use.","first gen. interior finish out; new construction of two restrooms, storage room, lobby and open gym area","2,200 ft 2",Caveirinha Jui-Jitsu Family (CJJF),"2361 E. University Dr. Suite 70, Prosper, Texas 75078",(469) 209-5061,,Open Studio Architecture,"6122 De Zavala Rd, San Antonio, Texas 78249",(210) 417-4307,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024016997
