project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,design_name,design_address,design_phone,project_url
Spec Suite 590,TABS2024016993,Hall Park - Sculpture II,"3001 Dallas Parkway Suite 590, Frisco, TX 75034",Collin,5/15/2024,12/31/2024,"$195,856",Renovation/Alteration,"This project is privately funded, on private land for private use.",Capital Improvement ,"2,279 ft 2",Hall Group,"3000 Internet Blvd. Suite 100, Frisco, Texas 75034",214.269.9509,,Entos Design,"5400 LBJ Freeway Suite 125, Dallas, Texas 75240",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024016993
Parkway Hills Church Youth Renovation,TABS2024016992,Parkway Hills Baptist Church,"2700 Dallas Parkway, Plano, TX 75093",Collin,6/17/2024,9/27/2024,"$1,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","INTERIOR ALTERATION TO EXISTING STUDENT MINISTRY DEPARTMENT ON LEVEL 2 OF AN  EXISTING BUILDING.  SCOPE INCLUDES WORSHIP AUDITORIUM, PRE-FUNCTION SPACE, &  MULTI-PURPOSE ROOM.","8,572 ft 2",Parkway Hills Baptist Church,"2700 Dallas Parkway, Plano, Texas 75093",(972) 303-8203,,Parscale Group,"1317 Botham Jean Blvd., Dallas, Texas 75215",(405) 380-5810,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024016992
Spec Suite 500,TABS2024016989,Hall Park - Sculpture II,"3001 Dallas Parkway Suite 500, Frisco, TX 75034",Collin,5/15/2024,12/31/2024,"$302,420",Renovation/Alteration,"This project is privately funded, on private land for private use.",Capital Improvement ,"6,602 ft 2",Hall Group,"3000 Internet Blvd. Suite 100, Frisco, Texas 75034",214.269.9509,,Entos Design,"5400 LBJ Freeway Suite 125, Dallas, Texas 75240",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024016989
Enterprise Car Rental Plano,TABS2024016986,Enterprise Car Rental,"1801 N Central Expressway, Plano, TX 75075",Collin,6/3/2024,10/3/2024,"$500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Converting existing NTB building to Enterprise Rental facility.  Includes light material changes, some new walls, and addition of offices. Garage area will include wet and dry areas and auto wash equipment. Oil/sand traps, vacuum and power wash hoses","10,441 ft 2","EAN Holdings, LLC","4201 N SH 161 #15, Irving, Texas 75038",(940) 736-5908,,Blue Frog Design Group,"430 S Main St, Grapevine, Texas 76051",214-469-3096,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024016986
Spec Suite 501,TABS2024016984,Hall Park - Park II,"2801 Network Blvd. Suite 501, Frisco, TX 75034",Collin,5/15/2024,12/31/2024,"$184,576",Renovation/Alteration,"This project is privately funded, on private land for private use.",Capital Improvement ,"2,125 ft 2",Hall Group,"3000 Internet Blvd. Suite 100, Frisco, Texas 75031",214.269.9509,,Entos Design,"5400 LBJ Freeway Suite 125, Dallas, Texas 75240",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024016984
Spec Suite 235,TABS2024016975,Hall Park - Lakes IV,"2600 Network Blvd. Suite 235, Frisco, TX 75034",Collin,5/15/2024,12/31/2024,"$200,536",Renovation/Alteration,"This project is privately funded, on private land for private use.",Capital Improvement ,"2,061 ft 2",Hall Group,"3000 Internet Blvd. Suite 100, Frisco, Texas 75034",214.269.9509,,Entos Design,"5400 LBJ Freeway Suite 125, Dallas, Texas 75240",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024016975
Spec Suite 230,TABS2024016972,Hall Park - Lakes IV,"2600 Network Blvd. Suite 230, Frisco, TX 75034",Collin,5/15/2024,12/31/2024,"$240,039",Renovation/Alteration,"This project is privately funded, on private land for private use.",Capital Improvement ,"2,629 ft 2",Hall Group,"3000 Internet Blvd. Suite 100, Frisco, Texas 75034",214.269.9509,,Entos Design,"5400 LBJ Freeway, Dallas, Texas 75240",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024016972
Spec Suite 260,TABS2024016969,Hall Park - Lakes II,"2591 Dallas Parkway Suite 260, Frisco, TX 75034",Collin,5/15/2024,12/31/2024,"$363,742",Renovation/Alteration,"This project is privately funded, on private land for private use.",Capital Improvement,"5,875 ft 2",Hall Group,"3000 Internet Blvd. Suite 100, Frisco, Texas 75034",214.269.9509,,Entos Design,"5400 LBJ Freeway Suite 125, Dallas, Texas 75240",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024016969
Spec Suite 205,TABS2024016965,Hall Park - Lakes II,"2591 Dallas Parkway Suite 205, Frisco, TX 75034",Collin,5/15/2024,12/31/2024,"$110,229",Renovation/Alteration,"This project is privately funded, on private land for private use.",Capital Improvement,"1,121 ft 2",Hall Group,"3000 Internet Blvd. Suite 100, Frisco, Texas 75034",214.269.9509,,Entos Design,"5400 LBJ Freeway Suite 125, Dallas, Texas 75240",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024016965
Edgewood Creek Amenity Center,TABS2024016962,Edgewood Creek Amenity Center,"NE corner of FM 1385 & FM 428, Celina, TX 75009",Collin,6/15/2024,12/1/2024,"$500,000",New Construction,"This project is privately funded, on private land for private use.","Amenity center with restrooms, storage, pool equipment rooms and patio.","3,850 ft 2",First Texas Homes,"NE corner of FM 1385 & FM 428, Dallas, Texas 75201",(469) 446-5135,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024016962
Spec Suite 203,TABS2024016959,Hall Park - Lakes II,"2591 Dallas Parkway Suite 203, Frisco, TX 75034",Collin,5/15/2024,12/31/2024,"$343,684",Renovation/Alteration,"This project is privately funded, on private land for private use.",Capital Improvement ,"4,018 ft 2",Hall Group,"3000 Internet Blvd. Suite 100, Frisco, Texas 75034",214.269.9509,,Entos Design,"5400 LBJ Freeway Suite 125, Dallas, Texas 75240",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024016959
Universal Kids Resort,TABS2024016944,Universal Kids Resort,"13850 Dallas Parkway, Frisco, TX 75035",Collin,7/12/2023,5/15/2026,"$152,413,101",New Construction,"This project is privately funded, on private land for private use.",Construction of a theme park and hotel.,"718,552 ft 2",FTNV LLC,"1000 Universal Studios Plaza, Orlando, Florida 32819",(321) 287-4617,,M. Arthur Gensler  Jr. & Associates Inc.,"5005 Greenville Ave, Dallas, Texas 75206",214-273-1500,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024016944
SAVANNAH SPA,TABS2024016880,SKAGGS ALBERTSON,"179 N PLANO RD #STE. 300, Richardson, TX 75081",Collin,5/1/2024,8/1/2024,"$60,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR FINISH OUT ,"2,600 ft 2",LAND OF GOSHEN LLC,"179 N PLANO RD #STE. 100, RICHARDSON, Texas 75081",(214) 986-4507,SAVANNAH SPA INC,NGUYEN CHAU DESIGNER & CONSULTING,"1207 FOX CHASE DR, MANSFIELD, Texas 76063",(682) 583-0921,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024016880
Walmart Fuel Station 0206.1000,TABS2024016863,Walmart Fuel Station,"2050 N. Redbud Blvd, Mckinney, TX 75069",Collin,9/10/2024,1/31/2025,"$2,300,000",New Construction,"This project is privately funded, on private land for private use.",New Walmart fuel station with a 440 sf Kiosk and 8 stack fuel dispensers,440 ft 2,Walmart Real Estate Trust,"2608 SE J Street, Bentonville, Arkansas 72712",(479) 273-4900,,"SGA Design Group, P.C.","1437 S Boulder Ave Suite 550, Tulsa, Oklahoma 74119",(918) 587-8600,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024016863
McDonald's Prosper TX,TABS2024016850,McDonald's Prosper TX,"6115 Camp Bowie Blvd Suite 200 - 2nd Floor, Prosper, TX 76028",Collin,8/1/2024,8/1/2025,"$1,500,000",New Construction,"This project is privately funded, on private land for private use.",New Ground Up Restaurant with Drive-Thru,"4,445 ft 2",McDonalds USA LLC,"110 N. Carpenter Street, Chicago, Illinois 60607",(469) 865-7916,,JAW Architects Inc.,"6115 Camp Bowie Blvd Suite 200 - 2nd Floor, Fort Worth, Texas 76116",(817) 705-3387,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024016850
Plano Admin Building and Compliance,TABS2024016797,Plano ISD Administration Building,"2700 W. 15th Street, Plano, TX 75075",Collin,6/1/2024,12/31/2024,"$5,000,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Renovation of ceilings, MEP systems and small changes to walls in the office areas","70,000 ft 2",Plano ISD,"2700 W 15th Street, Plano, Texas 75075",(469) 752-1484,,Corgan,"401 N. Houston St, Dallas, Texas 75202",(214) 748-2000,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024016797
4th floor corridor,TABS2024016781,Parkwood II,"3960 Dallas Parkway 4th floor, Plano, TX 75093",Collin,4/30/2024,10/4/2024,"$199,465",New Construction,"This project is privately funded, on private land for private use.",Interior finish out of building corridor,"2,160 ft 2",Cawley Partners,"16400 North Dallas Parkway Suite 150, Dallas, Texas 75249",(972) 759-7711,,Schwabauer Design,"1600 N Collins Blvd suite 1900, Richardson, Texas 75080",(469) 804-2400,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024016781
SugaringLA - Plano TX,TABS2024016780,Shops at Legacy,"5700 Legacy Dr Suite 3A, Plano, TX 75024",Collin,6/3/2024,8/12/2024,"$175,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Tenant finish-out of existing shopping center retail space consisting of a reception, treatment rooms, restroom, and breakroom.  There is no exterior scope of work.","1,293 ft 2",Kite Realty Group,"30 South Meridian Suite 1100, Indianapolis, Indiana 46204",(317) 713-7709,Ose Parlee,Apogee,"16775 Addison Rd Suite 350, Addison, Texas 75001",(972) 977-8387,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024016780
Deka Lash,TABS2024016707,Victory Shops at Stonebridge,"1800 N Stonebridge Dr. STE 120, Mckinney, TX 75071",Collin,5/1/2024,7/31/2024,"$185,000",New Construction,"This project is privately funded, on private land for private use.",1440 SF Tenant finish out,"1,440 ft 2","Victory Shops at Stonebridge III, LP","2911 Turtle Creek Blvd. STE 700, Dallas, Texas 75219",(469) 213-7869,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024016707
Super Star Carwash,TABS2024016702,Super Star Carwash,"3900 West University Drive, Mckinney, TX 75071",Collin,9/1/2024,9/1/2025,"$1,200,000",New Construction,"This project is privately funded, on private land for private use.","New automated drive thru car wash facility (4,552 S.F.)","4,552 ft 2",Tim Varley,"960 W. Behrend Dr. Suite 1, Phoenix, Arizona 85027",928-890-7436,,AO Architects,"144 North Orange St., Orange, California 92866",(714) 639-9860,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024016702
"WHITE, FADI",TABS2024016696,ALLEN DENTAL LOUNGE,"1259 N ALMA DR., Allen, TX 75013",Collin,5/20/2024,7/29/2024,"$273,841",New Construction,"This project is privately funded, on private land for private use.",INTERIOR FINISH OUT FOR DENTAL OFFICE ,"2,200 ft 2",CSA121 LLC,"1259 N. ALMA DR. #6, ALLEN, Texas 75013",214-862-5155,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024016696
McDonald's Wylie (SAO-2),TABS2024016673,McDonald's,"415 S. HWY 78, Wylie, TX 75098",Collin,6/24/2024,7/24/2024,"$350,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","New customer service area, new dining seating per decor, new kitchen extension/addition and new restroom finishes complying with ADA standards.","3,075 ft 2","McDonald's USA, LLC","110 N. Carpenter St., Chicago, Illinois 60607",(254) 205-0418,,Castles Design Group,"3801 Kirby Drive, Ste 600, Houston, Texas 77098",(713) 664-7974,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024016673
Meadows Elementary School Playgrounds,TABS2024016658,Meadows Elementary School,"2800 18th Street, Plano, TX 75024",Collin,5/1/2024,1/1/2025,"$600,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","Two new playgrounds (5,500 sf).","5,500 ft 2",Plano ISD,"6600 Alma Drive, Plano, Texas 75023",469 752-1484,,"RLK Engineering, Inc.","111 W Main Street, Allen, Texas 75013",(972) 359-1733,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024016658
Hughston Elementary School Playgrounds,TABS2024016657,Hughston Elementary School,"2601 Cross Bend Rd, Plano, TX 75023",Collin,5/1/2024,1/1/2025,"$600,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","Two new playgrounds (5,500 sf)","5,500 ft 2",Plano ISD,"6600 Alma Drive, Plano, Texas 75023",469 752-1484,,"RLK Engineering, Inc.","111 W Main Street, Allen, Texas 75013",(972) 359-1733,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024016657
