ProjectNumber,FacilityName,City,County,TypeOfWork,EstimatedCost,ProjectStatus,ProjectId,DataVersionId,ProjectName,ProjectCreatedOn,EstimatedStartDate,EstimatedEndDate,URL
TABS2026022396,Granite Park 6,1362,2043,9002,388000.0,3008,871d8795-f32a-4b70-b580-6b440a536272,900001,Midea Dallas HVAC Center,2026-06-09T13:27:29.2,2026-06-15T00:00:00,2026-09-15T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022396
TABS2026022381,Mandalay Jewelry,623,2043,9003,400000.0,3009,f94d1abd-f816-4e4b-9301-3b35118aebf5,900001,Mandalay Jewelry,2026-06-09T11:58:08.027,2026-06-15T00:00:00,2026-08-30T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022381
TABS2026022361,Texas Roadhouse,1408,2043,9003,450000.0,3008,3bdc44b4-e2bf-468c-8631-fd426c9fbfdd,900001,Texas Roadhouse Prosper TX Cooler Addition,2026-06-09T09:27:51.203,2026-07-15T00:00:00,2026-10-15T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022361
TABS2026022357,Custer Park,1362,2043,9002,250000.0,3008,8490783c-787a-45fd-9a79-6459a94a84f7,900001,Custer Park Facade Renovation,2026-06-09T09:26:30.477,2026-07-01T00:00:00,2026-09-30T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022357
TABS2026022350,4600 Eldorado Parkway,1107,2043,9002,154168.0,3008,276bac48-4237-4b8c-a750-bdba291f3cdc,900001,DOC Expansion,2026-06-09T08:34:43.847,2026-07-20T00:00:00,2026-09-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022350
TABS2026022347,HICKORY CENTER AT PRESTON,1362,2043,9002,250000.0,3008,3b7d889a-d3f5-448a-8f8c-d186ae2fbbdc,900001,SHIPLEY DO-NUTS,2026-06-09T08:13:22.09,2026-08-17T00:00:00,2026-09-30T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022347
TABS2026022346,FIELDS WEST & DNT,623,2043,9001,670000.0,3008,1999db34-4567-406e-9036-cfd463796ade,900001,FIELDS WEST & DNT,2026-06-09T08:06:50.817,2027-03-02T00:00:00,2027-07-30T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022346
TABS2026022329,Texas Health Resources,286,2043,9002,2000000.0,3008,4d902a62-29aa-4d82-8154-188fe3260ebb,900001,Envision Imaging of Celina,2026-06-08T17:31:37.517,2027-03-08T00:00:00,2027-06-07T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022329
TABS2026022319,Smile Doctors,623,2043,9002,500000.0,3008,386c5277-93a5-47e0-b0d7-357709471112,900001,"Smile Doctors - Frisco, TX",2026-06-08T16:15:36.937,2026-07-01T00:00:00,2026-11-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022319
TABS2026022304,Capo's pizza and pasta,1408,2043,9001,220000.0,3009,c657680f-84f6-4f3b-9ae2-993baca0533a,900001,Capo's pizza and pasta,2026-06-08T15:27:27.173,2026-01-01T00:00:00,2026-02-28T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022304
