ProjectId,ProjectNumber,ProjectName,ProjectCreatedOn,ProjectStatus,FacilityName,City,County,TypeOfWork,EstimatedCost,DataVersionId,EstimatedStartDate,EstimatedEndDate,URL
d9f05e86-d11c-49b7-988b-891c9777bf0f,TABS2026012348,Metro Vein,2026-02-11T15:11:47.033,3008,Cottonwood MOB,821,2057,9002,280000.0,900001,2026-02-11T00:00:00,2026-05-11T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012348
4fe5e91b-a415-44e9-bca8-df71b9c9b2b8,TABS2026012345,"Vartabedian, Hester & Haynes Relocation",2026-02-11T15:00:00.537,3008,Dallas Arts Tower,415,2057,9002,1000000.0,900001,2026-03-02T00:00:00,2026-09-25T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012345
1e1d67f1-b87d-4104-9d17-ebb6085760c4,TABS2026012339,22nd Floor Spec Suites,2026-02-11T14:05:46.423,3008,The Sinclair,415,2057,9002,1389446.0,900001,2026-02-16T00:00:00,2026-05-29T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012339
064fddbb-1cdb-4624-b8b9-50f473777820,TABS2026012311,PETAL & STEMS,2026-02-11T12:02:38.927,3008,SPRING CREEK VILLAGE,415,2057,9002,150000.0,900001,2026-03-01T00:00:00,2026-07-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012311
23c04739-62f1-4672-9816-eaf84f95165c,TABS2026012304,Bonchon,2026-02-11T11:45:34.89,3008,5000 Quorum,8,2057,9002,500000.0,900001,2026-02-11T00:00:00,2026-05-29T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012304
5ad9ac70-6fc7-4b7a-89fe-bc4b80aea96c,TABS2026012293,Citi-Las Colinas 6801-Elevator Upgrades,2026-02-11T11:05:10.18,3008,Citi,821,2057,9002,60000.0,900001,2026-03-03T00:00:00,2026-06-30T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012293
0f795cf7-7ed3-4d48-a50c-ebbf5b78e5ef,TABS2026012255,Rainbow White Box Expansion,2026-02-10T17:30:33.67,3008,The Crossing At Pleasant Run,449,2057,9002,297000.0,900001,2026-03-01T00:00:00,2026-06-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012255
989fb68a-dadc-453a-af1f-1246a0883328,TABS2026012221,Planet Home Lending,2026-02-10T15:16:03.027,3009,Interlink I,821,2057,9002,362000.0,900001,2026-02-17T00:00:00,2026-04-21T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012221
e5ee6cde-9378-4494-87a3-7415ec2ca59a,TABS2026012218,Planet Home Lending,2026-02-10T15:07:07.3,3009,Interlink I,821,2057,9002,355000.0,900001,2026-02-17T00:00:00,2026-04-21T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012218
ad21047a-ab14-4e26-8e4e-7b0939c70d6c,TABS2026012187,Maman - Casa Linda,2026-02-10T13:06:59.117,3008,Maman,415,2057,9002,450000.0,900001,2026-04-05T00:00:00,2026-11-05T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012187
