project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url,tenant_name
THE OFFICES AT MONARCH CROSSING BLDG 3125-120,TABS2026020373,THE OFFICES AT MONARCH CROSSING,"3125 BAILEY DR #STE. 120, Fort Worth, TX 76177",Tarrant,6/1/2026,12/1/2026,"$75,000",New Construction,"This project is privately funded, on private land for private use.",FINISH OUT ,"1,122 ft 2",CLD - NORTH FORT WORTH 1 LLC,"8072 PRESTON RD #STE. 205, FRISCO, Texas 75034",(214) 497-7725,NOVE STUDIOS LLC,"1721 W PLANO PKWY #STE. 218, PLANO, Texas 75075",(214) 814-1178,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026020373,
THE OFFICES AT MONARCH CROSSING BLDG 3125-110,TABS2026020372,THE OFFICES AT MONARCH CROSSING,"3125 BAILEY DR #STE. 110, Fort Worth, TX 76177",Tarrant,6/1/2026,12/1/2026,"$75,000",New Construction,"This project is privately funded, on private land for private use.",INTERIOR FINISH OUT,"2,244 ft 2",CLD - NORTH FORT WORTH 1 LLC,"8072 PRESTON RD #STE. 205, FRISCO, Texas 75034",(214) 497-7725,NOVE STUDIOS LLC,"1721 W PLANO PKWY #STE. 218, PLANO, Texas 75075",(214) 814-1178,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026020372,
THE OFFICES AT MONARCH CROSSING BLDG 3125-105,TABS2026020371,THE OFFICES AT MONARCH CROSSING,"3125 BAILEY DR #STE. 105, Fort Worth, TX 76177",Tarrant,6/1/2026,12/1/2026,"$75,000",New Construction,"This project is privately funded, on private land for private use.",INTERIOR FINISH OUT ,"1,122 ft 2",CLD - NORTH FORT WORTH 1 LLC,"8072 PRESTON RD #STE. 205, FRISCO, Texas 75034",(214) 497-7725,NOVE STUDIOS LLC,"1721 W PLANO PKWY #STE. 218, PLANO, Texas 75075",(214) 814-1178,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026020371,
BLP-Spec Office,TABS2026020357,BLP Grand Prairie,"2750 S Great Southwest Parkway Bldg A, Grand Prairie, TX 75052",Tarrant,6/1/2026,9/1/2026,"$400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","26,551sf interior ginish out in an existing industrial shell space with office 2,33sf office and 24, 213sf warehouse","26,551 ft 2",BLUSV I GSW Parkway LLC,"111 E Sego Lily Dr, Suite 400, Salt Lake City, Utah 84070",(972) 482-0457,Method Architecture,"2921 E. 17th St,Unit B, Suite 200, Austin, Texas 78702",(512) 478-0970,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026020357,
"Caffeine Central, Inc.",TABS2026020355,Moka & Co.,"3150 E. Broad Street, Mansfield, TX 76063",Tarrant,5/12/2026,7/28/2026,"$50,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Remodel for coffee shop 2000 sf,"2,000 ft 2",Mansfield 2016 LLC,"2708 Ursula Ct, Mansfield, Texas 76063",(214) 243-7175,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026020355,
Umzi VIne & Vibe Remodel,TABS2026020350,Umzi Vine & Vibe,"444 Keller Parkway, Keller, TX 76248",Tarrant,5/27/2026,8/30/2026,"$400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior and exterior remodel of existing restaurant and wine bar including kitchen, bar, dining area, restrooms, wine cellar, ADA upgrades, and related mechanical, electrical, and plumbing modifications. Approximately 2,500 SF.","2,500 ft 2",Lotus Petroleum Company LLC,"910 Lamar, Wichita Falls, Texas 76301",(940) 613-3223,"Edward & Isaac Designs, LLC","4364 Western Center Blvd PMB 2278, Fort Worth, Texas 76137",(214) 395-4688,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026020350,Johannes Redelinghuys
Casa de Coke,TABS2026020345,Six Flags Over Texas,"2201 E. Road to Six Flags Suite 201-2, Arlington, TX 76011",Tarrant,5/30/2026,7/30/2026,"$217,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","654 square foot renovation of an existing restaurant for Six Flags Over Texas. Scope of work includes electrical, plumbing and mechanical. ",654 ft 2,Six Flags Over Texas,"2201 E. Road to Six Flags, Arlington, Texas 76011",(817) 915-1409,Quorum Architects,"825 W Vickery Blvd, Ste 100, Forth Worth, Texas 76104",(817) 546-6311,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026020345,
Keller Sidewalk Additions-Keller Middle School,TABS2026020334,N/A,"City of Keller Public Right of Way, Keller, TX 76248",Tarrant,7/30/2026,12/30/2026,"$250,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","Installation of new sidewalks along Charles St, Lorine St, Ruby St, Pearl St, Elm St, and Minnie St to connect new sidewalks to existing sidewalks. Estimated at 10000 SF of new sidewalks.","10,000 ft 2",City of Keller,"1100 Bear Creek Parkway,, Keller, Texas 7648",(817)548-0696,"Neel-Schaffer ,Inc.","2501 Avenue J, Suite 120, Arlington, Texas 76006",(817) 348-5808,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026020334,
K4 Surgical Center and Texas Pain Specialist Clinic,TABS2026020316,K4 Surgical Center and Texas Pain Specialist Clinic,"1106 W Randol Mill Rd, Arlington, TX 76012",Tarrant,7/8/2026,8/9/2027,"$2,600,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior finish out for pain management facility ,"5,563 ft 2",TEXAS PAIN SPECIALISTS PLLC,"1119 W Randol Mill Rd #107, Arlington, Texas 76012",(832) 496-4835,SCSA Healthcare Architecture and Planning,"2942 N Greenfield Rd ste 105, Mesa, Arizona 85215",(602) 380-3026,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026020316,
Dr. Brett Mueller Office,TABS2026020305,Mueller Vision Lasik & Cataract Eye Surgery,"3108 Capital Way, Fort Worth, TX 76177",Tarrant,6/15/2026,10/15/2026,"$405,322",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.",New interior finish out of 2888 sf,"2,888 ft 2",3108 Capital Way LLC,"1210 Tate Lane, Argyle, Texas 76226",(903) 691-0245,Curate Studios,"3440 Sojourn Dr. #290, Carrollton, Texas 75006",(214) 202-4774,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026020305,
Building C,TABS2026020280,Harmon Rd,"9069 Harmon Rd, Fort Worth, TX 76131",Tarrant,7/1/2026,12/31/2027,"$1,000,000",New Construction,"This project is privately funded, on private land for private use.","1,798sq. ft. office building","1,798 ft 2",THE SHOPS AT PRESDIO LLC,"9800 Hillwood Pkwy Ste 140, Fort Worth, Texas 76177",972-357-4707,East Star Design LLC,"PO Box 53, Forney, Texas 75126",972-200-7340,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026020280,
Building B,TABS2026020276,Harmon Rd,"9053 Harmon Rd,, Fort Worth, TX 76131",Tarrant,7/1/2026,12/31/2027,"$3,000,000",New Construction,"This project is privately funded, on private land for private use.","11,939 sq. ft. 1st floor retail restaurant shell building, ","11,939 ft 2",THE SHOPS AT PRESDIO LLC,"9800 Hillwood Pkwy Ste 140, Fort Worth, Texas 76131",972-357-4707,East Star Design LLC,"PO Box 53, Forney, Texas 75126",972-200-7340,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026020276,
Building A2,TABS2026020273,Harmon Rd,"9077 Harmon Rd, Fort Worth, TX 76131",Tarrant,7/1/2026,12/31/2027,"$3,000,000",New Construction,"This project is privately funded, on private land for private use.","11,522 sq. ft. one story retail restaurant shell building","11,522 ft 2",THE SHOPS AT PRESDIO LLC,"9800 Hillwood Pkwy Ste 140, Fort Worth, Texas 76177",972-357-4707,East Star Design LLC,"PO Box 53, Forney, Texas 75126",(972) 200-7340,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026020273,
Building A1,TABS2026020270,HARMON RD,"9061 Harmon Rd, Fort Worth, TX 76131",Tarrant,7/1/2026,12/31/2027,"$3,000,000",New Construction,"This project is privately funded, on private land for private use.","11,522 sq. ft. one story retail restaurant shell building","11,522 ft 2",THE SHOPS AT PRESDIO LLC,"9800 Hillwood Pkwy Ste 140, Fort Worth, Texas 76131",972-357-4707,East Star Design LLC,"PO Box 53, Forney, Texas 75126",(972) 200-7340,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026020270,
SHB Arlington,TABS2026020259,Viridian Office Condominiums,"4120 Viridian Village Drive, Arlington, TX 76005",Tarrant,10/1/2026,12/31/2029,"$5,100,000",New Construction,"This project is privately funded, on private land for private use.",15 new construction single story office condominium buildings,"71,050 ft 2",VAOC LLC,"PO Box 175, shreveport, Louisiana 71161",(318) 423-6111,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026020259,
Pet Supplies Plus,TABS2026020245,West Park Blvd,"302-304 S Park Blvd., Grapevine, TX 75061",Tarrant,6/15/2026,9/4/2026,"$780,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior fit-up of a vacant tenant space in an in-line shopping center for a new pet supplies retail store including self-serve pet wash and grooming services,"8,944 ft 2",PARK WEST TT OWNER LLC,"814 COMMERCE DR SUITE 300, OAK BROOK, Illinois 60523",630.451.8607,Ports Architects,"8472 Vera Dr., Broadview Heights, Ohio 44147",440.526.6978,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026020245,NATE JENKINS
Deer Creek Phase 4 Amenity Center,TABS2026020242,Deer Creek Phase 4 Amenity Center,"Off of Birchwood Drive, Fort Worth, TX 76134",Tarrant,5/15/2026,7/15/2026,"$72,236",New Construction,"This project is privately funded, on private land for private use.","9,280 SF Flatwork","9,280 ft 2",JEN HOLDCO 24 LLC,"680 Fifth Avenue, 25th Floor, New York, New York 10019",(407) 963-5879,Johnson Volk Consulting,"704 Central Parkway East, Suite 800, Plano, Texas 75074",(972) 201-3100,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026020242,
Culpepper Cattle Arlington,TABS2026020238,Culpepper Cattle Arlington,"2300 East Lamar Blvd, Arlington, TX 76006",Tarrant,7/6/2026,1/18/2027,"$1,500,000",New Construction,"This project is privately funded, on private land for private use.",PROJECT DESCRIPTION:  GROUND UP CONSTRUCTION OF SINGLE STORY STAND ALONE RESTAURANT BUILDING.  NEW ELECTRICAL MECHANICAL AND PLUMBING EQUIPMENT.,"10,187 ft 2",CP 2300 Lamar LLC,"16 Wyatt TRL, Boerne, Texas 78015",(210) 621-3288,Hub City Productions,"4100 Commerce St apt 14, Dallas, Texas 75226",(214) 821-8242,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026020238,
Sixt Rent-A-Car Tenant Improvements at Consolidated Car Rental Facility,TABS2026020186,DFW Airport,"2424 E. 38th Street, Euless, TX 75261",Tarrant,5/15/2026,5/31/2026,"$125,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Paint stripes, pavement markings, security barriers, CCTV cameras, paint and re-branding existing booths on levels 1 and 2 in the Ready Return parking garage.","73,293 ft 2",DFW Airport,"2424 E. 38th Street, DFW Airport, Texas 75261",(972)973-6276,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026020186,
Action Behavior Center Basswood Academy,TABS2026020164,Action Behavior Center Basswood Academy,"5750 Stratum Drive, Fort Worth, TX 76137",Tarrant,6/1/2026,12/31/2026,"$700,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","A 6,857 square foot interior finish out for Action Behavior Centers offices and therapy clinic. ","6,857 ft 2","Jilani Properties, LLC","33 East Main Street, Suite 500, Madison, Wisconsin 53703",(817) 377-3612,Schwarz-Hanson Architects,"2627 Tillar Street, Suite 131, Fort Worth, Texas 76107",(817) 377-3600,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026020164,Connor Coleman
Tory Burch,TABS2026020159,Grand Prairie Premium Outlets,"2950 W Interstate 20 Suite #215A, Grand Prairie, TX 75052",Tarrant,7/1/2026,10/1/2026,"$500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Merging of two existing tenant spaces into one 4,320 sf new retail space. The tenant improvement shall include interior walls, new millwork, lighting, power, ceiling, finishes throughout, BOH including mobile shelving, new plumbing","4,320 ft 2","Grand Prairie Premium Outlets, LLC","PO Box 6120 MS11C, Indianapolis, Indiana 46204",(972) 538-5930,Tricarico Architecture and Design PC,"502 Valley Road, Wayne, New Jersey 07470",(201) 407-9026,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026020159,Quyen Phan-Karas
Arlington ALF - NeuroRestorative,TABS2026020131,Arlington ALF,"1201 Gambrel Road, Arlington, TX 76014",Tarrant,7/15/2026,5/15/2027,"$4,500,000",New Construction,"This project is privately funded, on private land for private use.","Single story, Type II-B, total 13,050 SF building; 9,239 SF, Group R-4, Condition II, Type B Assisted Living Facility, and 3,811 SF, Group B Outpatient Rehabilitation Therapy. ","13,050 ft 2",Scioto Properties SP-16 LLC,"160 E. Olentangy Street, Powell, Ohio 43065",(803) 600-4115,"Browne McGregor Architects, Inc.","520 Post Oak Blvd., Suite 880, Houston, Texas 77027",(713) 850-1733,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026020131,Sami Dajani
406 W Main Street,TABS2026020120,Jones Building,"406 W Main Street, Arlington, TX 76010",Tarrant,6/22/2026,8/28/2026,"$225,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior renovation of an existing commercial building/space located at 406 W Main Street. Scope includes architectural modifications, interior layout updates, finishes, and related accessibility improvements as required for code compliance. No roadw","2,720 ft 2",VARA MARIA DE JESUS,"1200 nolan ryan expressway #515, Arlington, Texas 76011",(817) 343-4161,Studio Harmony A&I Design LLC,"16775 Addison Rd, Suite 480 - 1075, Addison, Texas 75001",(682) 374-8811,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026020120,Marielena De Freites
BLP-Konig Wheels,TABS2026020091,BLP Grand Prairie,"2750 S Great Southwest Pkwy Bldg A, Grand Prairie, TX 75052",Tarrant,6/1/2026,9/1/2026,"$330,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","50,082 interior suite finish out in an existing industrial shell space with office approx 2612 sf and warehouse 47470sf","50,082 ft 2",BLUSV I GSW Parkway LLC,"111 E Sego Lily Dr, Suite 400, Salt Lake City, Utah 84070",(972) 482-0457,Method Architecture,"2921 E. 17th St,Unit B, Suite 200, Austin, Texas 78702",(512) 478-0970,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026020091,
NISD - Agricultural Center,TABS2026020047,NISD - Agricultural Center,"Riverside Drive & I35W, Austin, TX 78741",Tarrant,7/1/2026,7/1/2027,"$20,000,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","A new agricultural center for Northwest ISD, containing 2 classrooms, show arena, vet area, offices, and animal pins. Square footage is approximately 35,270 SF interior and 62,170 SF under roof.","97,440 ft 2",North West Independent School District,"2001 Texan Drive, Austin, Texas 76247",817-215-0069,Glenn Partners Architects,"500 West 7th Street #1000, Fort Worth, Texas 76102",817-500-9984,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026020047,
Aritzia University Park Village,TABS2026020046,University Park Village,"1616 S. UNIVERSITY DR. UNIT #305, Fort Worth, TX 76102",Tarrant,9/14/2026,3/4/2027,"$5,750,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior Tenant Finish-Our/Remodel,"10,381 ft 2","UPV Center, L.P","PO Box 6120, Indianapolis, Indiana 46206",(817) 332-5700,Carlile Coatsworth Architects,"18650 MacArthur Boulevard Suite 250, Irvine, California 92612",949-833-1930,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026020046,Patricia Marin Arraiza
REMODEL FOR FIRST AMERICAN PAYMENT SYSTEMS INC SUITE 1800,TABS2026020028,TWO CITY PLACE,"100 THROCKMORTON STREET SUITE 1800, Fort Worth, TX 76102",Tarrant,6/1/2026,9/16/2026,"$975,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",REMODEL OF EXISTING LEASE SPACE,"17,000 ft 2",SREP-TCPFWTX LLC,"5210 MCKINNEY AVE, DALLAS, Texas 75205",(214) 796-4087,HALBACH DIETZ ARCHITECTS,"6913 CAMP BOWIE BLVD SUITE 149, FORT WORTH, Texas 76116",(817) 737-0725,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026020028,
Dunkin Randol Mill,TABS2026020021,Dunkin Randol Mill,"601 W RANDOL MILL RD, Arlington, TX 76012",Tarrant,6/30/2026,12/31/2026,"$400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior finish out for a new Dunkin drive-thru in an existing building,"2,529 ft 2",RANDOL/FIELDER PAD LP,"3102 MAPLE AVE STE 500, DALLAS, Texas 75201",(214) 720-6602,Reese Design Services,"6420 Richmond Avenue Ste 345, Houston, Texas 77057",(713) 894-0132,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026020021,
ON,TABS2026020015,Southlake Town Square,"415 GRAND AVE E, Southlake, TX 76092",Tarrant,8/24/2026,12/23/2026,"$1,500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior finish-out of an existing retail tenant space, including installation of architectural finishes, ceilings, lighting, and mechanical, electrical, and plumbing (MEP) systems. Scope includes exterior storefront modifications with new finishes a","6,022 ft 2",Kite Realty Group,"30 S. Meridian Street, Suite 1100, Indianapolis, Indiana 46204",(317) 577-5600,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026020015,On
"Arlington, TX - Lamar Blvd.",TABS2026020001,Tesla,"2272 E Lamar Blvd #EVCS, Arlington, TX 76006",Tarrant,6/30/2026,6/30/2027,"$180,000",New Construction,"This project is privately funded, on private land for private use.",electrical infrastructure,120 ft 2,"Tesla, Inc.","3500 Deer Creek Road, Palo Alto, California 94304",(504) 812-7053,GPD Group Professional Corporation,"520 South Main Street, Suite 2531, Akron, Ohio 44311",(330) 572-2100,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026020001,
Dutch Bros Coffee,TABS2026019995,Dutch Bros Coffee,"1070 N. Beach Street, Dallas, TX 76111",Tarrant,7/1/2026,11/20/2026,"$1,350,000",New Construction,"This project is privately funded, on private land for private use.",New Construction of a 986 square foot drive-thru Coffee Store and associated site work.,986 ft 2,LLANO Beach Bros LLC,"715 Fort Worth Ave, Dallas, Texas 75208",(940) 550-8068,The Nunnally Studio Architects,"325 N. St. Paul Street Suite 3100, Dallas, Texas 75201",(817) 721-0320,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019995,Jeffrey L. Bennett
Hollywood Feed #141,TABS2026019978,McPherson Retail,"Near corner of Vista Grande and McPherson, Fort Worth, TX 76123",Tarrant,6/1/2026,4/1/2027,"$450,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Tenant fit out of existing 4000 sqft tenant space.  New exterior ""Hollywood Feed"" Signage. ","4,000 ft 2",McPherson Retail Partners LLC,"251 E Southlake Blvd., Suite 100, Southlake, Texas 76092",(817) 337-3433,David J Kelley,"1909 Courtney Drive, Homewood, Alabama 35209",(205) 317-4782,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019978,Whitney Maharrey
Marble Slab Great American & Cookies,TABS2026019972,Marble Slab & Great Americal Cookie,"1201 N Main St , Euless TX 76039, Euless, TX 76039",Tarrant,5/22/2026,11/20/2026,"$160,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Finish-out ,"1,705 ft 2",Great American Creamery INC,"1201 N Main St, Euless, Euless, Texas 76039",(469) 688-1640,Innovative Design & Construction llc,"1300 White Squall Trl, Arlington, Texas 76005",(409) 225-7515,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019972,
1st Moses´s LLC,TABS2026019968,"Elitha Moses - State Farm Insurance Agency, Inc","117 E Park Row Drive, Arlington, TX 76010",Tarrant,5/14/2026,6/15/2026,"$75,944",Renovation/Alteration,"This project is privately funded, on private land for private use.","- Complete interior aesthetic remodeling - Tearing down a wall and replacing it with an LVL beam. - RR Electrical Panel Box and Re-Wire. - Eliminated fireplace, Plumbing repairs, RR Windows.","1,964 ft 2","1st Moses, LLC","2908 Alta, Grand Prairie, Texas 75054",(214) 356-7798,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019968,
Elliott Electric Supply,TABS2026019916,Elliott Electric Supply,"6741 Midway Rd. Suite 100, Haltom City, TX 76117",Tarrant,8/15/2026,11/15/2027,"$750,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior remodel of an existing warehouse space with office and retail component,"60,927 ft 2",Elliott Electric Supply,"2526 N. Stallings Dr. Suite 303, Nacogdoches, Texas 75964",(936) 569-1184,Element Architects,"1250 Wood Branch Park Dr Suite 480 Suite 480, HOUSTON, Texas 77079",(713) 874-0775,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019916,
Orange Leaf - Fort Worth TX,TABS2026019889,Clifford Crossing,"9324 Clifford Street Suite 102, Fort Worth, TX 76108",Tarrant,6/1/2026,7/15/2026,"$240,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior alteration of an existing retail suite of 1279.94SF.,"1,279 ft 2",Hickman Holt Irrevoc Asset TR,"131 E Exchange Ave Suite 207, Fort Worth, Texas 76164",(817) 731-6199,"Zebra Projects, Inc","14614 N Kierland Blvd Suite N300, Scottsdale, Arizona 85254",(480) 912-1169,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026019889,Michael Silva
