project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url,tenant_name
Sylvania Warehouse,TABS2026020461,Sylvania Warehouse,"3300 N Sylvania Ave, Fort Worth, TX 76111",Tarrant,6/1/2026,2/15/2027,"$600,000",New Construction,"This project is privately funded, on private land for private use.",GROUND UP NEW CONSTRUCTION OF AN OFFICE & WAREHOUSE SPACE.,"10,555 ft 2","Sylvania Industrial Park, LLC","107 Pittsburg st, Dallas, Texas 75207",707 290-8629,Agent Architecture,"1414 Belleview St, Dallas, Texas 75215",214-775-0823,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026020461,
CHAPEL HILLS WEST PHASE I GUNNERY TARGET,TABS2026020432,CHAPEL HILLS WEST PHASE I GUNNERY TARGET,"HOA OPEN SPACE, LOT 10X, BLOCK 12, Fort Worth, TX 76179",Tarrant,6/1/2026,12/31/2026,"$150,000",New Construction,"This project is privately funded, on private land for private use.","SHADE STRUCTURE, SIDEWALKS, AND INTERACTIVE SIGNAGE FOR HISTORIC GUNNERY TARGET SITE The project has 868 linear feet of sidewalk and 1,705 sq ft. of shade structure area.","2,573 ft 2",GRBK Edgewood LLC,"130 E John W Carpenter Frwy Suite 230, Irving, Texas 75062",(972) 310-4545,Johnson Volk Consulting,"704 Central Parkway East Suite 1200, Plano, Texas 75074",(972) 201-3100,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026020432,
Anthem,TABS2026020415,Building I,"770 E Road to Six Flags Street, Arlington, TX 76011",Tarrant,7/1/2026,7/31/2027,"$996,861",Renovation/Alteration,"This project is privately funded, on private land for private use.","Partial building demolition and alteration/facade renovation of a 19,050 sf type IIB, retail building with empty and active tenants.","19,050 ft 2",LS TDMK LLC,"1701 River Run Suite 500, Fort Worth, Texas 76107",(817) 629-2710,"Dwell Design Studio, LLC","5801 Tennyson Parkway Suite 350, Plano, Texas 75024",(214) 427-6629,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026020415,
Anthem,TABS2026020413,Building H,"780 E Road to Six Flags, Arlington, TX 76011",Tarrant,7/1/2026,7/31/2027,"$1,062,881",Renovation/Alteration,"This project is privately funded, on private land for private use.","Partial building demolition and alteration/facade renovation of a 72,845 sf type IIB, retail building with empty and active tenants.","72,845 ft 2",LS TDMK LLC,"1701 River Run Suite 500, Fort Worth, Texas 76107",(817) 629-2710,"Dwell Design Studio, LLC","5801 Tennyson Parkway Suite 350, Plano, Texas 75024",(214) 427-6629,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026020413,
Anthem,TABS2026020409,Building E,"861 E Road to Six Flags, Arlington, TX 76011",Tarrant,7/1/2026,7/31/2027,"$1,807,143",New Construction,"This project is privately funded, on private land for private use.","The project consists of single story new construction of an 8,020 SF, cold dark shell, construction type IIB multi-tenant commercial building","8,020 ft 2",LS TDMK LLC,"1701 River Run Suite 500, Fort Worth, Texas 76107",(817) 629-2710,"Dwell Design Studio, LLC","5801 Tennyson Parkway Suite 350, Plano, Texas 75024",(214) 427-6629,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026020409,
Anthem,TABS2026020406,Building D,"1402 N Collins Street, Arlington, TX 76011",Tarrant,7/1/2026,7/31/2027,"$2,123,260",Renovation/Alteration,"This project is privately funded, on private land for private use.","Partial building demolition and alteration/facade renovation of a 34,586 sf type IIB, commercial building empty spaces and active tenants.","34,586 ft 2",LS TDMK LLC,"1701 River Run Suite 500, Fort Worth, Texas 76107",(817) 629-2710,"Dwell Design Studio, LLC","5801 Tennyson Parkway Suite 350, Plano, Texas 75024",(214) 427-6629,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026020406,
Anthem,TABS2026020402,Building C,"1418 N Collins Street, Arlington, TX 76011",Tarrant,7/1/2026,7/31/2027,"$2,038,876",Renovation/Alteration,"This project is privately funded, on private land for private use.","Partial building demolition and alteration/facade renovation of a combined 6,417 sf type IIB, cold dark shell commercial buildings, and facade renovation of existing theater.","6,417 ft 2",LS TDMK LLC,"1701 River Run Suite 500, Fort Worth, Texas 76107",(817) 629-2710,"Dwell Design Studio, LLC","5801 Tennyson Parkway Suite 350, Plano, Texas 75024",(214) 427-6629,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026020402,
Anthem,TABS2026020398,Building J,"760 E road to Six Flags Street, Arlington, TX 76011",Tarrant,7/1/2026,7/31/2027,"$1,149,417",Renovation/Alteration,"This project is privately funded, on private land for private use.","Partial building demolition and alteration/facade renovation of a 29,137 sf type IIB, retail building with empty and active tenants.","29,137 ft 2",LS TDMK LLC,"1701 River Run Suite 500, Fort Worth, Texas 76107",(817) 629-2710,"Dwell Design Studio, LLC","5801 Tennyson Parkway Suite 350, Plano, Texas 75024",(214) 427-6629,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026020398,
Pilates Addiction,TABS2026020391,Southlake,"2101 E. Southlake Blvd, Southlake, TX 76092",Tarrant,6/5/2026,8/28/2026,"$250,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Commercial Tenant finish (TI) buildout to include new walls, demolition, ductwork, building, electrical, mechanical, and plumbing.  ","1,202 ft 2",Southlake Commons Holdings LLC,"6808 Hornwood Dr, Houston, Texas 77074",(713) 751-9793,PSA Architects LLC,"8154 Montgomery Rd, Suite 200, Cincinnati, Ohio 45236",(513) 984-4000,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026020391,Rafael Florencia
Edged Energy Outpost,TABS2026020386,Edged Energy Outpost,"9999 Chapin School Road, Fort Worth, TX 76126",Tarrant,7/27/2026,12/30/2027,"$300,000,000",New Construction,"This project is privately funded, on private land for private use.","488,770 sf data center","488,770 ft 2",EDC Fort Worth LLC,"30 Old Kings Hwy S Ste 1005, Darien, Connecticut 06820",(610) 883-0184,MG2 Architecture Corporation,"20 W 22nd St #1403, New York, New York 10010",(347) 321-6800,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026020386,
