project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url,tenant_name
Laticrete Women's Locker Room Renovation,TABS2025023880,Laticrete International,"1710 11th St, Grand Prairie, TX 75050",Tarrant,8/4/2025,9/15/2025,"$123,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",interior renovations to an existing locker room ,550 ft 2,Laticrete International,"1710 111th St Ste 250 S, Grand Prairie, Texas 75050",(203) 980-3164,"ninety 8 ninety 7, LLC  dba:Studio 9897","15428 Pioneer Bluff Trail, Ft Worth, Texas 76262",(214) 684-1269,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023880,
QuikTrip # 886 Fryer Project,TABS2025023853,QuikTrip # 886,"161 Industrial Avenue, Azle, TX 76020",Tarrant,10/5/2025,10/20/2025,"$125,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Includes re-organization of existing kitchen equipment and addition of new fryer units. The existing type 1 hood and wrapped ducts will be replaced with type 1 new equipment. Rooftop equipment will remain existing. Project 300 sf.,300 ft 2,QuikTrip Corporation,"1120 N. Industrial Blvd., Euless, Texas 76039",(817) 786-3191,"Daniel D. Filuk, Architect","1747 E. Morten Ave., Suite 111, Phoenix, Arizona 85020",(602) 234-1868,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023853,
InMotion,TABS2025023849,DFW International Airport - Terminal B,"2141 S International Pkwy, Space B-2-109D-A01, Dfw Airport, TX 75261",Tarrant,9/12/2025,1/2/2026,"$804,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR BUILD-OUT OF EXISTING MERCANTILE CONCESSION SPACE (807 SF) AT DFW TERMINAL B ON THE CONCOURSE LEVEL TO A NEW MERCANTILE CONCESSION SPACE WITHIN THE SAME FOOTPRINT. ,807 ft 2,Dallas Fort Worth International Airport,"2400 Aviation Drive, DFW Airport, Texas 75261",(972) 973-5696,O'Kelly Kasprak,"940 W Adams St,, Chicago, Illinois 60607",(312) 962-5977,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023849,"David Lake, WH Smith"
Superior Floors TI,TABS2025023833,121 - Edmonds Industrial,"2701 S State Highway 121 Business, Lewisville, TX 75067",Tarrant,7/31/2025,1/30/2026,"$1,570,000",New Construction,"This project is privately funded, on private land for private use.","New offices in an existing shell building.  They include Restrooms, Breakrooms, and Offices that serve the existing warehouse space.","54,179 ft 2",Clinesty 121 LLC,"7409 Kingsbarns, The Colony, Texas 75056",(940) 756-1598,RGA Architects,"RGA Architects 301 S Oak St. , Suite 100, Roankoke, Texas 76262",(817) 994-7891,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023833,Ethan Ysbrand
Pate Rehabilitation - Phase 1 Remediation Work,TABS2025023791,250 Ben's Trail,"250 Ben's Trail, Fort Worth, TX 76120",Tarrant,9/1/2025,12/31/2025,"$630,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Fully exterior site work, no interior work. Removal and replacement of drive aisle, parking stalls, entry sidewalk, and adjacent landscape beds to facilitate install of improved underground drainage.","12,000 ft 2",Saluda Properties LLC,"160 E. Olentangy Street, Powell, Ohio 43065",(614) 889-5191,"Charles Vincent George Architects, Inc.","1245 East Diehl Road, Suite 101, Naperville, Illinois 60563",630-357-2023,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023791,Danny White
Ailaa Himalayan Bar & Grill,TABS2025023778,Parkwood Village,"217 Harwood Rd Ste 209, Bedford, TX 76021",Tarrant,7/31/2025,9/30/2025,"$300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior alteration for a new Nepalese restaurant. New partition walls, kitchen equipment's, furniture's, interior design and new grid ceiling. Re-using existing restrooms and plumbing.","4,434 ft 2","MDT Parkwood, LTD","12720 Hillcrest Rd, Ste 700, Dallas, Texas 75230",(817) 729-0505,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023778,Dipen Joshi
UNT HSC RES-3,TABS2025023773,Research & Education Building,"1055 Montgomery Street, Fort Worth, TX 76107",Tarrant,10/5/2025,4/7/2026,"$875,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","2,225sf interior renovation of the 3rd floor of the Research & Education Building at the UNT Health Science Center Campus.  The renovation consists of casework replacement and general lab upgrades.","2,225 ft 2",University of North Texas System,"1901 Main Street, Dallas, Texas 75201",(940) 369-6673,Treanor,"2554 Elm Street, Suite 200, Dallas, Texas 75226",214-310-1018,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023773,
Planet Fitness - North Richland Hills,TABS2025023755,Planet Fitness - North Richland Hills,"6300 Rufe Snow Drive, North Richland Hills, TX 76180",Tarrant,9/1/2025,12/19/2025,"$850,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior remodel of vacant tenant space to new Planet Fitness gym,"28,863 ft 2",Mesilla Valley Business Park LLC,"6500 Montana Avenue Suite 1220, El Paso, Texas 79925",(210) 413-6779,pb2 architecture + engineering,"PO BOX 2076, Rogers, Arkansas 72757",(479) 878-3731,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023755,
New Restaurant Development,TABS2025023738,Tacos & Avocados Interior Finish-out,"5301 Davis Boulevard Building 200, North Richland Hills, TX 76180",Tarrant,5/1/2026,10/31/2026,"$600,000",New Construction,"This project is privately funded, on private land for private use.",Interior finish-out for a restaurant in an existing shell building.,"4,050 ft 2",Courtney Lindley,"5040 Addison Circle Suite 250, Addison, Texas 75001",(972) 693-5827,"Donald F. Sopranzi, AIA, LEED-AP Architect","10300 North Central Expressway Suite 450, Dallas, Texas 75231",(817) 903-6663,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023738,
New Restaurant Development,TABS2025023735,Jakes  Interior Finish-out,"15301 Davis Boulevard Building 100, North Richland Hills, TX 75231",Tarrant,5/1/2026,10/31/2026,"$750,000",New Construction,"This project is privately funded, on private land for private use.",Interior finish-out for a restaurant in an existing shell building,"5,008 ft 2",MAD Concepts,"5040 Addison Circle Suite 250, Addison, Texas 75001",(972) 693-5827,"Donald F. Sopranzi, AIA, LEED-AP Architect","10300 North Central Expressway Suite 450, Dallas, Texas 75231",(817) 903-6663,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023735,
