project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url,tenant_name
New Restaurant Development,TABS2025023733,Tacos & Avocados Shell,"5301 Davis Boulevard Building 200, North Richland Hills, TX 76180",Tarrant,9/1/2025,6/30/2026,"$1,250,000",New Construction,"This project is privately funded, on private land for private use.",A restaurant shell building with associated site work.,"4,050 ft 2",MAD Concepts,"5040 Addison Circle Suite 250, Addison, Texas 75001",(972) 693-5827,"Donald F. Sopranzi, AIA, LEED-AP Architect","10300 North Central Expressway Suite 450, Dallas, Texas 75231",(817) 903-6663,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023733,
Renovation of Suite 1050,TABS2025023729,Tanger Outlets Building 10,"15837 North Freeway suite 1050, Fort Worth, TX 76177",Tarrant,9/1/2025,10/24/2025,"$452,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Dividing Existing Suite 1050 into two separate tenant suites,"3,165 ft 2",Tanger,"3200 Northline Ave suite 360, Greensboro, North Carolina 27408",(336) 355-8991,CMH Architects Inc.,"1800 International Park Drive Suite 300, Birmingham, Alabama 35243",(205) 969-2696,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023729,
New Restaurant Development,TABS2025023728,Jakes  Shell,"5301 Davis Boulevard Building 100, North Richland Hills, TX 76180",Tarrant,9/1/2025,6/30/2026,"$1,500,000",New Construction,"This project is privately funded, on private land for private use.",A restaurant shell building with associated site work.,"5,008 ft 2",MAD Concepts,"5040 Addison Circle Suite 250, Addison, Texas 75001",(972) 693-5827,"Donald F. Sopranzi, AIA, LEED-AP Architect","10300 North Central Expressway Suite 450, Dallas, Texas 75231",(817) 903-6663,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023728,
Planet Fitness - Lake Worth,TABS2025023725,Planet Fitness - Lake Worth,"6708 Lake Worth Blvd, Lake Worth, TX 76135",Tarrant,9/1/2025,12/19/2025,"$850,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior remodel of vacant space to new Planet Fitness gym,"35,203 ft 2",Four Rivers Capital,"4514 Cole Avenue Suite 1220, Dallas, Texas 75205",(479) 621-3987,pb2 architecture + engineering,"PO BOX 2076, Rogers, Arkansas 72757",(479) 878-3731,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023725,
Texas Health Resources Hogan Center Suite 400,TABS2025023699,Texas Health Resources,"800 5th Ave., Suite 400, Fort Worth, Texas 76104, Fort Worth, TX 76104",Tarrant,7/21/2025,3/30/2026,"$400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Renovation of approximately 11,410 square feet of clinic space.","11,410 ft 2",Texas Health Resources,"1325 Pennsylvania, Ave., Suite 510, Fort Worth, Texas 76104",(877) 847-9355,Parkhill,"640 Taylor Street, Suite 1900, Fort Worth, Texas 76102",(817) 633-0438,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023699,
THE NAIL LOUNGE,TABS2025023653,COUNTRY CREATIONS,"129 S RIDGEWAY, Cleburne, TX 76033",Tarrant,8/1/2025,12/1/2025,"$120,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",REMODEL ,"4,050 ft 2",1433 VENTURES,"2+23 SUMMIT AVENUE #STE. 100, FORT WORTH, Texas 76102",(817) 291-4451,NGUYEN CHAU DESIGNER & CONSULTING,"1207 FOX CHASE DR, MANSFIELD, Texas 76063",(682) 583-0921,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023653,CHI NGUYEN
Method Expansion,TABS2025023639,419 Bank Street,"419 Bank Street, Southlake, TX 76092",Tarrant,8/1/2025,12/15/2025,"$491,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",New private offices & restrooms.,"2,778 ft 2",CBREIM,"2100 McKinney Avenue Suite 900, Dallas, Texas 75201",(214) 863-3107,"RGA Architects, inc.","301 South Oak St Suite 100, Roanoke, Texas 76262",(817) 430-3382,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023639,
QuikTrip #0875 Fryer Project,TABS2025023610,QuikTrip #0875,"121 W. Bonds Ranch Road, Fort Worth, TX 76131",Tarrant,9/21/2025,10/6/2025,"$125,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Includes reorganization of existing kitchen equipment and addition of new fryer units.,300 ft 2,QuikTrip Corporation,"1120 N. Industrial Blvd., Euless, Texas 76039",(817) 786-3191,"Daniel D. Filuk, Architect","1747 E. Morten Ave., Suite 111, Phoenix, Arizona 85020",(602) 234-1868,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023610,
QuikTrip #1876 Fryer Project,TABS2025023609,QuikTrip #1876,"10200 West Freeway, Fort Worth, TX 76108",Tarrant,10/5/2025,10/20/2025,"$125,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Includes reorganization of existing kitchen equipment and addition of new fryer units.,300 ft 2,QuikTrip Corporation,"1120 N. Industrial Blvd., Euless, Texas 76039",(817) 786-3191,"Daniel D. Filuk, Architect","1747 E. Morten Ave., Suite 111, Phoenix, Arizona 85020",(602) 234-1868,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023609,
A New Deli @ University Centre I,TABS2025023580,University Centre I,"1320 S. University Dr., Ste. 110, Fort Worth, TX 76107",Tarrant,8/1/2025,11/30/2025,"$98,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",A new deli of a former deli on the first floor of a 10 story building.,971 ft 2,"Hilltech Properties, Ltd","1320 S. University Dr., Ste 700, Fort Worth, Texas 76107",(817) 877-3555,Schwarz-Hanson Architects,"2627 Tillar Street, Suite 131, Fort Worth, Texas 76107",(817) 377-3600,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023580,
Federated Insurance,TABS2025023579,Corporate Center at the Crossing,"9151 Boulevard 26 Suite 425, North Richland Hills, TX 76180",Tarrant,7/30/2025,11/1/2025,"$500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior Tenant Finish Out,"12,082 ft 2",Capital Commercial Investments,"500 N. Capital of Texas Hwy. Building 1, Suite 200, Austin, Texas 78746",(940) 282-8927,DRAWbridge,"2650 FM 407E Suite 145, #149, Bartonville, Texas 76226",(214) 395-2375,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023579,
Cook Children's Mansfield Audiology,TABS2025023578,Cook Children's Health care System,"801 Matlock Rd, Mansfield, TX 76063",Tarrant,11/21/2025,12/19/2025,"$200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","THE PROJECT SCOPE INVOLVES 440 SQ. FT. OF INTERIOR RENOVATIONS TO AN EXISTING, BUILDING TO CREATE A NEW  AUDIOLOGY BOOTH. ",440 ft 2,Cook Children’s Health Care System,"801 SEVENTH AVE, Fort Worth, Texas 76104",(682) 885-4000,ENVIRONMENTS FOR HEALTH ARCHITECTURE,"801 CHERRY STREET, SUITE 500, Fort Worth, Texas 76102",817.226.1917,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023578,
Cook Children's 1719 8th ave Rehab & Audiology,TABS2025023573,Cook Children's Health care System,"1719 8TH AVENUE, Fort Worth, TX 76110",Tarrant,9/1/2025,11/30/2025,"$445,320",Renovation/Alteration,"This project is privately funded, on private land for private use.","THE PROJECT SCOPE INVOLVES 3,143 SQ. FT. OF INTERIOR RENOVATIONS TO AN EXISTING, ONE STORY, OFFICE BUILDING TO CREATE A NEW  REHABILITATION GYM, AN AUDIOLOGY BOOTH AND ANCILLARY SUPPORT SPACES.","3,143 ft 2",Cook Children’s Health Care System,"801 SEVENTH AVE, Fort Worth, Texas 76104",(682) 885-4000,ENVIRONMENTS FOR HEALTH ARCHITECTURE,"801 CHERRY STREET, SUITE 500, Fort Worth, Texas 76102",817.226.1917,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023573,
Texas WM Sites Batch 2,TABS2025023567,Walmart,"Various Locations in Texas, Fort Worth, TX 76112",Tarrant,8/4/2025,1/12/2026,"$43,200,000",Additions to Existing Building,"This project is privately funded, on private land for private use.","Installing various EV charging stations in an existing commercial parking lots. (20,000 SF).","20,000 ft 2",Walmart Real Estates Bus Trst.,"2608 SE J Street, Bentonville, Arizona 72716",(903) 471-9423,"Kimley-Horn & Associates, Inc.","2600 N. Central Expressway, Richardson, Texas 75080",(972) 770-1322,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023567,
1044 S. St. Hwy 161 Demo/ MR,TABS2025023563,1044 S. St hwy 161,"1044 S. St Hwy 161, Grand Prairie, TX 75051",Tarrant,8/14/2025,11/17/2025,"$325,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Second generation office renovation and reduction,"2,373 ft 2","1050 SOUTH STATE HIGHWAY INVESTORS, LLC","5001 Spring Valley Road 250W, Dallas, Texas 75244",(972) 361-1140,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023563,
Taqueria Taco Express,TABS2025023546,Sunrise Market,"1170 S. Main, Mansfield, TX 76063",Tarrant,8/15/2025,11/1/2025,"$250,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Shell space but already has elec service panel and demise wall complete,"2,500 ft 2",Mo Iqbal,"1170 S. Main, Mansfield, Texas 76063",(347) 624-2869,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023546,
One Trick Pony,TABS2025023524,One Trick Pony,"313 S Main St, Fort Worth, TX 76104",Tarrant,8/15/2025,10/29/2025,"$65,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",remodel in existing space.,"1,920 ft 2","1501 Ridgecrest Partnership, LP","5918 Lovell Ave, Fort Worth, Texas 76107",(817) 332-8685,ID Studio4,"6201 Campis Circle Dr E, Irving, Texas 75063",(469) 579-2227,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023524,One Trick Pony-Travis Heim
Epic Warehouse,TABS2025023521,Epic Pavers,"12208 S Pipeline Rd, Euless, TX 76040",Tarrant,7/21/2025,7/29/2025,"$80,000",New Construction,"This project is privately funded, on private land for private use.","Construct a pre-engineered metal building with a concrete slab for storing paver pallets. Includes site prep, steel framing, roll-up doors, basic electrical, and drainage—designed for forklift access, durability, and efficient material handling.","4,800 ft 2",Maria Flores,"12208 S Pipeline Rd, Euless, Texas 76040",(682) 376-2645,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023521,
Interior Remodel for Spruce Home + Closet,TABS2025023511,Southlake Town Square,"409 N. Carroll Avenue, Southlake, TX 76092",Tarrant,8/1/2025,11/1/2025,"$300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","A 3,840 square foot interior retail tenant remodel for a new Spruce Home + Closet store","3,840 ft 2",Kite Realty,"285 Grand Avenue Suite 210, Southlake, Texas 76092",(682) 332-7784,SJE ARCHitects,"8350 N Central Expressway Suite 1900, Dallas, Texas 75206",(817) 312-1518,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023511,Dan Kelly
"Shell Building - Keller, TX",TABS2025023508,Shell Building,"TBD FM 1709 & Keller-Smithfield Rd, Keller, TX 76248",Tarrant,10/1/2025,4/1/2026,"$1,178,994",New Construction,"This project is privately funded, on private land for private use.","Scope of work is for construction of a new 10,981 sq ft retail shell building and site development.","10,981 ft 2","Bomac Keller 1709, LLC","P.O. Box 96011, Southlake, Texas 76092",(817) 778-4711,Franz Architects,"7608 Benbrook Parkway, Benbrook, Texas 76126",(817) 737-9922,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023508,
Degree Wellness,TABS2025023488,Granada Plaza,"3606 Greenville Ave, Dallas, TX 75206",Tarrant,9/1/2025,11/15/2025,"$200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior tenant improvement- no site work,"2,325 ft 2",Uptown Ventures LLC / Hillcrest Towers LLC,"28039 Scott Rd Suite D #181, Murrieta, California 92563",(619) 889-4801,ND Enterprises LLC,"6501 E Greenway Pkwy #103-707, Scottsdale, Arizona 85254",(480) 297-5577,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023488,
"7-Eleven #42811 Fort Worth, TX (Heritage Trace)",TABS2025023445,"7-Eleven #42811 Fort Worth, TX (Heritage Trace)","Heritage Trace & Blue Mound, Fort Worth, TX 76131",Tarrant,2/7/2026,9/5/2026,"$1,200,000",New Construction,"This project is privately funded, on private land for private use.",Site work & Grading New construction of a one-story convenience store,"4,819 ft 2","Darwood Blue Partners, LP","1008 Macon Street, Ste. 104, Fort Worth, Texas 76107",817-307-8084,The Dimension Group,"10755 Sandhill Rd, Dallas, Texas 75238",(214) 343-9400,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023445,Clint Ellis
ID Technology TI,TABS2025023430,Park North - Building 4,"5051 North Sylvania Ave. Suite 405, Fort Worth, TX 76112",Tarrant,7/29/2025,1/15/2026,"$1,000,000",New Construction,"This project is privately funded, on private land for private use.",New offices in existing warehouse.  Remodel of existing office areas with new finishes.  Fully air condition the building.,"86,222 ft 2","ID Technology, LLC","5051 North Sylvania Ave. Suite 405 Fort Worth, TX, Fort Worth, Texas 76112",(817) 624-6860,RGA Architects,"RGA Architects 301 S Oak St. , Suite 100, Roankoke, Texas 76262",(817) 994-7891,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023430,
GPS Paints,TABS2025023427,N/A,"301 West Hurst Boulevard, Hurst, TX 76053",Tarrant,9/1/2025,12/31/2025,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovate existing warehouse to have two additional restrooms.,137 ft 2,GPS Paints,"301 West Hurst Boulevard, Hurst, Texas 76053",(936) 693-5603,Level 5 Architecture,"737 U.S. 287 Frontage Rd. Suite 203, Mansfield, Texas 76063",(817) 842-0212,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023427,
Bible Study Fellowship Global Headquarters Relocation,TABS2025023411,3400 William D Tate Ave,"3400 William D. Tate Ave, Grapevine, TX 76051",Tarrant,9/15/2025,10/20/2025,"$10,966,500",Renovation/Alteration,"This project is privately funded, on private land for private use.","This project includes renovation of the existing building.  Current phase includes gut demolition of the existing non-load bearing interior partitions, fixtures, finishes, and furniture.  Future phases will include the reconstruction efforts.","53,000 ft 2",Bible Study Fellowship,"PO Box 675241, Dallas, Texas 75267",(210) 493-4125,"Smallwood, Reynolds, Stewart, Stewart & Associates, Inc.","3495 piedmont road ne building 10, suite 700, atlanta, Georgia 30305",(404) 264-6623,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023411,
Burritos El Buen Pastor,TABS2025023406,Burritos El Buen Pastor,"2528 NE 28th St., Fort Worth, TX 76106",Tarrant,9/1/2025,12/31/2025,"$120,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Remodeling.,400 ft 2,Manuel Anaya & Flor Valtierra,"2409 Warwick Ave, Fort Worth, Texas 76106",(817) 805-9844,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023406,
Hunter Ferrell Spec Office Finish-Out,TABS2025023397,Hunter Ferrell Industrial,"2400 W. Hunter Ferrell Road, Grand Prairie, TX 75050",Tarrant,8/15/2025,10/15/2025,"$500,000",New Construction,"This project is privately funded, on private land for private use.",Interior finish-out of spec office.,"3,864 ft 2","TRI-CHI Hunter Ferrell Logistics, L. P.","3819 Maple Avenue, Dallas, Texas 75219",(214) 661-8094,"Pross Design Group, Inc.","5310 Harvest Hill Road Suite 180, Dallas, Texas 75230",(972) 759-1400,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023397,
CRYSTAL WINDOW AND DOOR SYSTEMS,TABS2025023371,CRYSTAL WINDOW AND DOOR SYSTEMS,"TBD CRYSTAL WAY, Mansfield, TX 76063",Tarrant,10/1/2025,10/1/2026,"$14,000,000",New Construction,"This project is privately funded, on private land for private use.","NEW COMMERCIAL BUILDING 60,000 SQ FT","60,000 ft 2","CRYSTAL WINDOW AND DOOR SYSTEMS TX, LTD","31-10 WHITESTONE EXPRESSWAY, FLUSHING, New York 11354",(817) 751-1318,NATIONWIDE CONSTRUCTION,"721 S 5TH AVE, MANSFIELD, Texas 76063",817-473-0484,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023371,
Pizza Patron,TABS2025023366,EECU Plaza,"301 NW 28th Street Suite 101, Fort Worth, TX 76164",Tarrant,10/2/2025,12/4/2025,"$300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",TI / Remodel of an existing sit-down Wingstop restaurant to a take-out/delivery store.,"1,204 ft 2",EECU,"1617 West 7th Street, Fort Worth, Texas 76102",(817) 882-0224,Wilkus Architects,"15 Ninth Avenue North, Hopkins, Minnesota 55343",(952) 843-5055,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023366,Loren Hernandez
Brooks Development,TABS2025023364,4020 Mansfield Highway,"4020 Mansfield Highway, Forest Hill, TX 76119",Tarrant,8/1/2025,2/1/2026,"$50,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior Renovation of an existing building to create 4 mercantile suites. Exterior parking lot striping.,"5,115 ft 2",Eric Brooks,"28255 SE Wally Rd, Boring, Oregon 97009",503-663-2858,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025023364,
